date,djc,dji,djt,dju,djct,djit,djtt,djut
1986-01-02,,1537.73,706.55,174.45,,,,
1986-01-03,,1549.2,702.99,175.88,,,,
1986-01-06,,1547.59,697.06,176.14,,,,
1986-01-07,,1565.71,706.79,179.06,,,,
1986-01-08,,1526.61,693.49,174.75,,,,
1986-01-09,,1518.23,686.97,172.04,,,,
1986-01-10,,1513.53,686.97,172.75,,,,
1986-01-13,,1520.53,692.31,172.39,,,,
1986-01-14,,1519.04,692.78,172.55,,,,
1986-01-15,,1527.29,698.84,173.01,,,,
1986-01-16,,1541.63,712.49,173.63,,,,
1986-01-17,,1536.7,716.64,172.75,,,,
1986-01-20,,1529.13,715.81,172.34,,,,
1986-01-21,,1514.45,715.93,170.8,,,,
1986-01-22,,1502.29,712.13,169.47,,,,
1986-01-23,,1511.24,719.37,170.09,,,,
1986-01-24,,1529.93,739.91,171.21,,,,
1986-01-27,,1537.61,746.44,172.55,,,,
1986-01-28,,1556.42,753.68,174.39,,,,
1986-01-29,,1558.94,755.58,174.65,,,,
1986-01-30,,1552.18,745.01,173.88,,,,
1986-01-31,,1570.99,748.46,176.91,,,,
1986-02-03,,1594.27,756.29,178.14,,,,
1986-02-04,,1593.23,755.22,176.45,,,,
1986-02-05,,1593.12,753.44,175.83,,,,
1986-02-06,,1600.69,756.65,176.04,,,,
1986-02-07,,1613.42,762.35,176.75,,,,
1986-02-10,,1626.38,767.92,178.29,,,,
1986-02-11,,1622.82,764.84,178.65,,,,
1986-02-12,,1629.93,766.98,178.19,,,,
1986-02-13,,1645.07,768.16,179.11,,,,
1986-02-14,,1664.45,772.91,180.7,,,,
1986-02-18,,1678.78,784.78,183.27,,,,
1986-02-19,,1658.26,784.43,182.6,,,,
1986-02-20,,1672.82,792.14,183.99,,,,
1986-02-21,,1697.71,797.72,185.53,,,,
1986-02-24,,1698.28,792.97,184.65,,,,
1986-02-25,,1692.66,780.39,184.65,,,,
1986-02-26,,1696.9,781.46,183.73,,,,
1986-02-27,,1713.99,791.43,185.32,,,,
1986-02-28,,1709.06,792.26,185.83,,,,
1986-03-03,,1696.67,789.62,184.29,,,,
1986-03-04,,1686.42,786.92,184.24,,,,
1986-03-05,,1686.66,785.57,182.45,,,,
1986-03-06,,1696.6,789.01,182.19,,,,
1986-03-07,,1699.83,791.34,181.83,,,,
1986-03-10,,1702.95,793.06,182.81,,,,
1986-03-11,,1746.05,801.52,186.81,,,,
1986-03-12,,1745.45,806.18,188.4,,,,
1986-03-13,,1753.71,810.48,188.04,,,,
1986-03-14,,1792.74,816.24,189.47,,,,
1986-03-17,,1776.82,804.1,186.65,,,,
1986-03-18,,1789.87,802.75,186.5,,,,
1986-03-19,,1787.95,805.57,185.01,,,,
1986-03-20,,1804.24,812.07,184.65,,,,
1986-03-21,,1768.56,804.71,184.6,,,,
1986-03-24,,1782.93,809.74,186.76,,,,
1986-03-25,,1778.5,803.61,187.73,,,,
1986-03-26,,1810.7,816.24,189.37,,,,
1986-03-27,,1821.72,828.39,191.53,,,,
1986-03-31,,1818.61,830.84,193.73,,,,
1986-04-01,,1790.11,813.05,191.32,,,,
1986-04-02,,1795.26,813.67,191.27,,,,
1986-04-03,,1766.4,800.66,189.68,,,,
1986-04-04,,1739.22,779.32,186.55,,,,
1986-04-07,,1735.51,778.83,185.27,,,,
1986-04-08,,1769.76,788.4,187.63,,,,
1986-04-09,,1778.62,786.8,188.6,,,,
1986-04-10,,1794.3,787.41,189.17,,,,
1986-04-11,,1790.18,786.06,188.19,,,,
1986-04-14,,1805.31,788.27,189.17,,,,
1986-04-15,,1809.65,789.13,189.73,,,,
1986-04-16,,1847.97,813.3,191.22,,,,
1986-04-17,,1855.03,817.96,192.5,,,,
1986-04-18,,1840.4,812.56,191.78,,,,
1986-04-21,,1855.9,822.13,192.24,,,,
1986-04-22,,1830.98,815.63,190.04,,,,
1986-04-23,,1829.61,813.79,187.63,,,,
1986-04-24,,1831.72,811.46,186.86,,,,
1986-04-25,,1835.57,810.97,186.7,,,,
1986-04-28,,1843.75,815.26,185.58,,,,
1986-04-29,,1825.89,807.41,182.65,,,,
1986-04-30,,1783.98,792.2,179.63,,,,
1986-05-01,,1777.78,791.95,179.71,,,,
1986-05-02,,1774.68,786.56,181.41,,,,
1986-05-05,,1793.77,792.44,183.58,,,,
1986-05-06,,1787.95,789.62,183.73,,,,
1986-05-07,,1775.3,783.37,181.77,,,,
1986-05-08,,1786.21,783,183.73,,,,
1986-05-09,,1789.43,788.03,182.91,,,,
1986-05-12,,1787.33,784.96,181.98,,,,
1986-05-13,,1785.34,782.88,181.46,,,,
1986-05-14,,1808.28,786.43,182.7,,,,
1986-05-15,,1774.68,776.5,182.34,,,,
1986-05-16,,1759.8,771.71,181.05,,,,
1986-05-19,,1758.18,771.1,181.72,,,,
1986-05-20,,1783.98,785.45,182.08,,,,
1986-05-21,,1775.17,780.3,181.15,,,,
1986-05-22,,1806.3,795.02,183.68,,,,
1986-05-23,,1823.29,797.96,184.35,,,,
1986-05-27,,1853.03,809.25,186.47,,,,
1986-05-28,,1878.28,810.84,187.91,,,,
1986-05-29,,1882.35,809.74,189.82,,,,
1986-05-30,,1876.71,803.36,189.62,,,,
1986-06-02,,1861.95,798.58,188.33,,,,
1986-06-03,,1870.43,797.88,188.02,,,,
1986-06-04,,1863.29,798,186.57,,,,
1986-06-05,,1879.44,804.5,188.69,,,,
1986-06-06,,1885.9,795.38,187.76,,,,
1986-06-09,,1840.15,778.38,183.89,,,,
1986-06-10,,1837.19,774.13,183.47,,,,
1986-06-11,,1846.07,774.63,183.78,,,,
1986-06-12,,1838.13,779.38,185.06,,,,
1986-06-13,,1874.19,786.5,187.69,,,,
1986-06-16,,1871.77,786.63,188.9,,,,
1986-06-17,,1865.78,785.13,188.52,,,,
1986-06-18,,1868.94,781.63,189.17,,,,
1986-06-19,,1855.86,772.75,188.02,,,,
1986-06-20,,1879.54,778.13,190.49,,,,
1986-06-23,,1864.26,782.63,189.17,,,,
1986-06-24,,1875.55,781.13,191.04,,,,
1986-06-25,,1885.05,782.13,193.02,,,,
1986-06-26,,1880.2,776.13,195.49,,,,
1986-06-27,,1885.26,777.5,198.78,,,,
1986-06-30,,1892.72,782.75,200.1,,,,
1986-07-01,,1903.54,781.88,199.55,,,,
1986-07-02,,1909.03,780.63,200.32,,,,
1986-07-03,,1900.87,777.75,200.76,,,,
1986-07-07,,1839,765.25,198.95,,,,
1986-07-08,,1820.73,752.5,198.23,,,,
1986-07-09,,1826.07,750,199,,,,
1986-07-10,,1831.83,753.38,200.54,,,,
1986-07-11,,1821.43,751.38,204.05,,,,
1986-07-14,,1793.45,740,204.16,,,,
1986-07-15,,1768.7,721.75,200.81,,,,
1986-07-16,,1774.18,723.63,200.92,,,,
1986-07-17,,1781.78,725.13,200.98,,,,
1986-07-18,,1777.98,727.25,200.48,,,,
1986-07-21,,1779.11,720.38,203.61,,,,
1986-07-22,,1795.13,729.75,205.31,,,,
1986-07-23,,1798.37,726.38,205.42,,,,
1986-07-24,,1791.62,715.38,205.42,,,,
1986-07-25,,1810.04,720.5,207.45,,,,
1986-07-28,,1773.9,713.63,203.01,,,,
1986-07-29,,1766.87,711,203.28,,,,
1986-07-30,,1779.39,718.88,203.94,,,,
1986-07-31,,1775.31,716.13,204.05,,,,
1986-08-01,,1763.64,713,203.28,,,,
1986-08-04,,1769.97,709.13,203.01,,,,
1986-08-05,,1777,710.88,202.95,,,,
1986-08-06,,1779.53,709.38,203.39,,,,
1986-08-07,,1786.28,716.75,204.38,,,,
1986-08-08,,1782.62,712.88,204,,,,
1986-08-11,,1811.16,721.75,205.64,,,,
1986-08-12,,1835.49,732.5,207.13,,,,
1986-08-13,,1844.49,748.13,209.16,,,,
1986-08-14,,1844.91,754,210.04,,,,
1986-08-15,,1855.6,756,211.24,,,,
1986-08-18,,1869.52,753.38,211.13,,,,
1986-08-19,,1862.91,744,213.38,,,,
1986-08-20,,1881.33,752.13,219.15,,,,
1986-08-21,,1881.19,757.13,218.21,,,,
1986-08-22,,1887.8,761.75,217.39,,,,
1986-08-25,,1871.77,761.75,214.37,,,,
1986-08-26,,1904.25,774,217.72,,,,
1986-08-27,,1904.53,781.5,217.78,,,,
1986-08-28,,1900.17,777.75,217.5,,,,
1986-08-29,,1898.34,772,219.15,,,,
1986-09-02,,1870.36,759.88,215.42,,,,
1986-09-03,,1881.33,769.5,216.68,,,,
1986-09-04,,1919.71,790.13,218.82,,,,
1986-09-05,,1899.75,777.5,213.71,,,,
1986-09-08,,1888.64,777.75,210.69,,,,
1986-09-09,,1884.14,782.5,210.47,,,,
1986-09-10,,1879.5,782.63,211.35,,,,
1986-09-11,,1792.89,749,202.24,,,,
1986-09-12,,1758.72,737.38,198.78,,,,
1986-09-15,,1767.58,740.75,200.21,,,,
1986-09-16,,1778.54,739.25,199.93,,,,
1986-09-17,,1769.4,747.25,200.65,,,,
1986-09-18,,1774.18,766.25,200.1,,,,
1986-09-19,,1762.65,780.13,201.09,,,,
1986-09-22,,1793.45,784.63,202.84,,,,
1986-09-23,,1797.81,794.38,203.23,,,,
1986-09-24,,1803.29,792.13,204.16,,,,
1986-09-25,,1768.56,784.5,201.75,,,,
1986-09-26,,1769.69,784.25,201.75,,,,
1986-09-29,,1755.2,789.63,198.84,,,,
1986-09-30,,1767.58,800.38,199.71,,,,
1986-10-01,,1782.9,815.13,199.93,,,,
1986-10-02,,1781.21,813.88,199.33,,,,
1986-10-03,,1774.18,811.88,199.62,,,,
1986-10-06,,1784.45,822.25,200.2,,,,
1986-10-07,,1784.45,818.13,199.27,,,,
1986-10-08,,1803.85,828.13,198.81,,,,
1986-10-09,,1796.82,826.38,199.22,,,,
1986-10-10,,1793.17,824.13,198.18,,,,
1986-10-13,,1798.37,829.38,198.76,,,,
1986-10-14,,1800.2,827.63,198.3,,,,
1986-10-15,,1831.69,836.13,201.06,,,,
1986-10-16,,1836.19,828.88,201.81,,,,
1986-10-17,,1837.04,823.88,201.06,,,,
1986-10-20,,1811.02,815.25,199.33,,,,
1986-10-21,,1805.68,817.63,199.68,,,,
1986-10-22,,1808.35,818.75,199.56,,,,
1986-10-23,,1834.93,829.38,202.15,,,,
1986-10-24,,1832.26,825,202.27,,,,
1986-10-27,,1841.82,827.63,203.65,,,,
1986-10-28,,1845.47,834.25,205.09,,,,
1986-10-29,,1851.8,839.88,206.99,,,,
1986-10-30,,1878.37,835.88,208.72,,,,
1986-10-31,,1877.81,835.38,209.41,,,,
1986-11-03,,1894.26,841.38,210.67,,,,
1986-11-04,,1892.44,844.5,210.39,,,,
1986-11-05,,1899.04,849.63,210.44,,,,
1986-11-06,,1891.59,849.25,210.56,,,,
1986-11-07,,1886.53,845,209.81,,,,
1986-11-10,,1892.29,844.63,210.27,,,,
1986-11-11,,1895.95,836.63,210.44,,,,
1986-11-12,,1893.7,840.13,211.54,,,,
1986-11-13,,1862.2,834.25,209.87,,,,
1986-11-14,,1873.59,838.25,210.16,,,,
1986-11-17,,1860.52,829.25,209.24,,,,
1986-11-18,,1817.21,813.88,204.17,,,,
1986-11-19,,1826.63,816.5,205.03,,,,
1986-11-20,,1860.66,826.75,207.22,,,,
1986-11-21,,1893.56,838.88,211.48,,,,
1986-11-24,,1906.07,844.5,213.27,,,,
1986-11-25,,1912.12,846.13,212.81,,,,
1986-11-26,,1916.76,844.75,212.29,,,,
1986-11-28,,1914.23,845.91,213.09,,,,
1986-12-01,,1912.68,844.83,211.48,,,,
1986-12-02,,1955.57,858.84,214.47,,,,
1986-12-03,,1947.27,863.75,213.84,,,,
1986-12-04,,1939.68,866.74,213.9,,,,
1986-12-05,,1925.06,860.87,211.94,,,,
1986-12-08,,1930.26,853.69,212.17,,,,
1986-12-09,,1916.9,841.48,211.31,,,,
1986-12-10,,1932.93,845.31,212.23,,,,
1986-12-11,,1923.65,841.12,210.04,,,,
1986-12-12,,1912.26,834.77,209.64,,,,
1986-12-15,,1922.81,830.1,209.98,,,,
1986-12-16,,1936.16,833.33,212.4,,,,
1986-12-17,,1918.31,829.58,210.67,,,,
1986-12-18,,1912.82,825.34,211.02,,,,
1986-12-19,,1928.85,835.88,212.06,,,,
1986-12-22,,1926.18,830.91,211.83,,,,
1986-12-23,,1914.37,824.13,209.7,,,,
1986-12-24,,1926.88,820.37,209.98,,,,
1986-12-26,,1930.4,819.65,209.47,,,,
1986-12-29,,1912.12,813.23,208.03,,,,
1986-12-30,,1908.61,810.2,205.78,,,,
1986-12-31,,1895.95,807.17,206.01,,,,
1987-01-02,,1927.31,816.38,210.44,,,,
1987-01-05,,1971.32,840.72,213.67,,,,
1987-01-06,,1974.83,841.93,213.78,,,,
1987-01-07,,1993.95,842.42,216.37,,,,
1987-01-08,,2002.25,843.27,218.16,,,,
1987-01-09,,2005.91,853.92,218.97,,,,
