,Dow Jones,S&P500,S&P500_return,GDP,CPI,Inflation,BDI,BDI_return,BDI_vol,30_yield,3m_yield,7_yield,cond_vol
1986-01-24,1529.93,206.42999267578125,0.010616602661986422,4517.4635333333335,92.42903225806452,3.972518874193548,831.0,-0.06521518745413132,0.030737323361446564,945.0,719.0,906.0,0.0777564515138834
1986-01-27,1529.93,206.42999267578125,0.004639739280171209,4517.4635333333335,92.42903225806452,3.972518874193548,831.0,-0.06521518745413132,0.030737323361446564,945.0,719.0,906.0,0.0777564515138834
1986-01-28,1529.93,206.42999267578125,0.011601271950067342,4517.4635333333335,92.42903225806452,3.972518874193548,831.0,-0.06521518745413132,0.030737323361446564,945.0,719.0,906.0,0.0777564515138834
1986-01-29,1529.93,206.42999267578125,0.0022851509015681132,4517.4635333333335,92.42903225806452,3.972518874193548,831.0,-0.06521518745413132,0.030737323361446564,945.0,719.0,906.0,0.0777564515138834
1986-01-30,1529.93,206.42999267578125,-0.004575535680260836,4517.4635333333335,92.42903225806452,3.972518874193548,831.0,-0.06521518745413132,0.030737323361446564,945.0,719.0,906.0,0.0777564515138834
1986-01-31,1570.99,211.77999877929688,0.011636031384648762,4520.376,90.21612903225807,3.9714849967741936,796.0,-0.043030609011065146,0.015686865854857002,934.0,719.0,888.0,0.1104737790512394
1986-02-03,1570.99,211.77999877929688,0.010241118803832126,4520.376,90.21612903225807,3.9714849967741936,796.0,-0.043030609011065146,0.015686865854857002,934.0,719.0,888.0,0.1104737790512394
1986-02-04,1570.99,211.77999877929688,-0.005483380711631132,4520.376,90.21612903225807,3.9714849967741936,796.0,-0.043030609011065146,0.015686865854857002,934.0,719.0,888.0,0.1104737790512394
1986-02-05,1570.99,211.77999877929688,0.0007986538427306114,4520.376,90.21612903225807,3.9714849967741936,796.0,-0.043030609011065146,0.015686865854857002,934.0,719.0,888.0,0.1104737790512394
1986-02-06,1570.99,211.77999877929688,0.0023919271181658225,4520.376,90.21612903225807,3.9714849967741936,796.0,-0.043030609011065146,0.015686865854857002,934.0,719.0,888.0,0.1104737790512394
1986-02-07,1613.42,214.55999755859375,0.005093094863313257,4523.288466666667,88.67857142857143,3.8660986285714287,780.0,-0.02030526616074557,0.016069244034250207,932.0,744.0,895.0,0.0991630216754669
1986-02-10,1613.42,214.55999755859375,0.007799519216577499,4523.288466666667,88.67857142857143,3.8660986285714287,780.0,-0.02030526616074557,0.016069244034250207,932.0,744.0,895.0,0.0991630216754669
1986-02-11,1613.42,214.55999755859375,-0.001480967141778017,4523.288466666667,88.67857142857143,3.8660986285714287,780.0,-0.02030526616074557,0.016069244034250207,932.0,744.0,895.0,0.0991630216754669
1986-02-12,1613.42,214.55999755859375,0.00023155457200626316,4523.288466666667,88.67857142857143,3.8660986285714287,780.0,-0.02030526616074557,0.016069244034250207,932.0,744.0,895.0,0.0991630216754669
1986-02-13,1613.42,214.55999755859375,0.0065994318105502235,4523.288466666667,88.67857142857143,3.8660986285714287,780.0,-0.02030526616074557,0.016069244034250207,932.0,744.0,895.0,0.0991630216754669
1986-02-14,1664.45,219.75999450683594,0.010797070178762098,4526.2009333333335,87.25357142857143,3.7433201785714285,749.0,-0.040554936166417914,0.01431867897780076,893.0,724.0,853.0,0.1150408175537589
1986-02-18,1664.45,219.75999450683594,0.012166326742380492,4526.2009333333335,87.25357142857143,3.7433201785714285,749.0,-0.040554936166417914,0.01431867897780076,893.0,724.0,853.0,0.1150408175537589
1986-02-19,1664.45,219.75999450683594,-0.012166326742380362,4526.2009333333335,87.25357142857143,3.7433201785714285,749.0,-0.040554936166417914,0.01431867897780076,893.0,724.0,853.0,0.1150408175537589
1986-02-20,1664.45,219.75999450683594,0.011131870858259616,4526.2009333333335,87.25357142857143,3.7433201785714285,749.0,-0.040554936166417914,0.01431867897780076,893.0,724.0,853.0,0.1150408175537589
1986-02-21,1697.71,224.6199951171875,0.010742176147706058,4529.1134,85.82857142857144,3.6205417285714288,737.0,-0.016151091327882845,0.017256124172352484,873.0,720.0,840.0,0.1029816101261825
1986-02-24,1697.71,224.6199951171875,-0.0012473219036356667,4529.1134,85.82857142857144,3.6205417285714288,737.0,-0.016151091327882845,0.017256124172352484,873.0,720.0,840.0,0.1029816101261825
1986-02-25,1697.71,224.6199951171875,-0.0024546597668361606,4529.1134,85.82857142857144,3.6205417285714288,737.0,-0.016151091327882845,0.017256124172352484,873.0,720.0,840.0,0.1029816101261825
1986-02-26,1697.71,224.6199951171875,0.001116495248045138,4529.1134,85.82857142857144,3.6205417285714288,737.0,-0.016151091327882845,0.017256124172352484,873.0,720.0,840.0,0.1029816101261825
1986-02-27,1697.71,224.6199951171875,0.012111729438337085,4529.1134,85.82857142857144,3.6205417285714288,737.0,-0.016151091327882845,0.017256124172352484,873.0,720.0,840.0,0.1029816101261825
1986-02-28,1709.06,226.9199981689453,0.0006612175765042011,4532.025866666667,84.40357142857142,3.4977632785714285,739.0,0.002710028758865158,0.013336825914113342,827.0,724.0,805.0,0.1068392416371924
1986-03-03,1709.06,226.9199981689453,-0.006632203698128098,4532.025866666667,84.40357142857142,3.4977632785714285,739.0,0.002710028758865158,0.013336825914113342,827.0,724.0,805.0,0.1068392416371924
1986-03-04,1709.06,226.9199981689453,-0.0046242558129024084,4532.025866666667,84.40357142857142,3.4977632785714285,739.0,0.002710028758865158,0.013336825914113342,827.0,724.0,805.0,0.1068392416371924
1986-03-05,1709.06,226.9199981689453,-0.00017832298501986487,4532.025866666667,84.40357142857142,3.4977632785714285,739.0,0.002710028758865158,0.013336825914113342,827.0,724.0,805.0,0.1068392416371924
1986-03-06,1709.06,226.9199981689453,0.003515292928587749,4532.025866666667,84.40357142857142,3.4977632785714285,739.0,0.002710028758865158,0.013336825914113342,827.0,724.0,805.0,0.1068392416371924
1986-03-07,1699.83,225.57000732421875,0.0019525297061314675,4534.9383333333335,83.2709677419355,3.390678570967742,743.5,0.006070844952007954,0.0023764559204930047,815.0,681.0,780.0,0.0950196841667125
1986-03-10,1699.83,225.57000732421875,0.004467526998743713,4534.9383333333335,83.2709677419355,3.390678570967742,743.5,0.006070844952007954,0.0023764559204930047,815.0,681.0,780.0,0.0950196841667125
1986-03-11,1699.83,225.57000732421875,0.02230219026005031,4534.9383333333335,83.2709677419355,3.390678570967742,743.5,0.006070844952007954,0.0023764559204930047,815.0,681.0,780.0,0.0950196841667125
1986-03-12,1699.83,225.57000732421875,0.00366194258191567,4534.9383333333335,83.2709677419355,3.390678570967742,743.5,0.006070844952007954,0.0023764559204930047,815.0,681.0,780.0,0.0950196841667125
1986-03-13,1699.83,225.57000732421875,0.0027913580112580673,4534.9383333333335,83.2709677419355,3.390678570967742,743.5,0.006070844952007954,0.0023764559204930047,815.0,681.0,780.0,0.0950196841667125
1986-03-14,1792.74,236.5500030517578,0.014306032598429191,4537.8508,82.18709677419355,3.2862094870967744,744.5,0.0013440862238539562,0.003342323149710516,795.0,674.0,762.0,0.1082865155362546
1986-03-17,1792.74,236.5500030517578,-0.007979350846443432,4537.8508,82.18709677419355,3.2862094870967744,744.5,0.0013440862238539562,0.003342323149710516,795.0,674.0,762.0,0.1082865155362546
1986-03-18,1792.74,236.5500030517578,0.004718897554859525,4537.8508,82.18709677419355,3.2862094870967744,744.5,0.0013440862238539562,0.003342323149710516,795.0,674.0,762.0,0.1082865155362546
1986-03-19,1792.74,236.5500030517578,-0.0007636840029896031,4537.8508,82.18709677419355,3.2862094870967744,744.5,0.0013440862238539562,0.003342323149710516,795.0,674.0,762.0,0.1082865155362546
1986-03-20,1792.74,236.5500030517578,0.003981820755631742,4537.8508,82.18709677419355,3.2862094870967744,744.5,0.0013440862238539562,0.003342323149710516,795.0,674.0,762.0,0.1082865155362546
1986-03-21,1768.56,233.33999633789062,-0.01362069673792147,4540.763266666667,81.10322580645162,3.1817404032258065,733.5,-0.014885254541027222,0.01147587690903478,798.0,661.0,770.0,0.0999875477835044
1986-03-24,1768.56,233.33999633789062,0.008492190498259665,4540.763266666667,81.10322580645162,3.1817404032258065,733.5,-0.014885254541027222,0.01147587690903478,798.0,661.0,770.0,0.0999875477835044
1986-03-25,1768.56,233.33999633789062,-0.0025954726043149845,4540.763266666667,81.10322580645162,3.1817404032258065,733.5,-0.014885254541027222,0.01147587690903478,798.0,661.0,770.0,0.0999875477835044
1986-03-26,1768.56,233.33999633789062,0.01093185670670471,4540.763266666667,81.10322580645162,3.1817404032258065,733.5,-0.014885254541027222,0.01147587690903478,798.0,661.0,770.0,0.0999875477835044
1986-03-27,1768.56,233.33999633789062,0.007012849846417174,4540.763266666667,81.10322580645162,3.1817404032258065,733.5,-0.014885254541027222,0.01147587690903478,798.0,661.0,770.0,0.0999875477835044
1986-03-28,1821.72,238.97000122070312,0.007012849846417174,4543.6757333333335,80.01935483870969,3.0772713193548387,727.5,-0.008213598537388856,0.004717573201916692,763.0,653.0,735.0,0.0896699323296964
