date,title
1986-01-01,Mexico Cuts Crude Oil Price 
1986-01-02,Oil Prices Set To Take Further Cuts 
1986-01-03,Us Firms Cutting Back On Oil Gas Exploration 
1986-01-05,Us Gas Oil Exploration Being Cut Back 
1986-01-06,Upg Falco Canada Ups Canada Notice To Oil Producers 
1986-01-08,Upg Falco Canada Notice To Oil Producers 
1986-01-09,A Texaco Canada Inc Notice To Alberta Crude Oil Producers 
1986-01-10,Oil Pipeline Expansion To Us Border Planned 
1986-01-11,3Year Inflation Rate Lowest In 20 Years 
1986-01-13,Venezuela Reduces HeavyCrude Oil Prices 
1986-01-14,Experts Forecast Sharp Rise In Oil Prices If Mace In Mt 
1986-01-15,US oil demand falls in 1985
1986-01-16,Future Oil Prices Plummet 
1986-01-17,Oil Prices Down 
1986-01-18,Texaco Earnings Drop 
1986-01-19,Oil Futures Prices At Lowest In Decade 
1986-01-21,Speculation Follows Drop In Oil Prices Oil Slump May Bring Deficit Problems Oil Price Decline Could Continue By Kathleen Day Oil Prices Drop As Production Rises Sales Fall Cost Of Drop In Oil Prices May Continue 
1986-01-22,Pressure On Local Oil Prices As North Sea Crude Drops Oil Industry In Chaos Despite Drop In Prices Winners Losers In Oil Price Fall 
1986-01-23,Opec Talks Key To Stability Canadian Oil Price Drops Now Let Gasoline Prices Go Down Oil Market Slows After Big Decline Oil Prices Continue Plunge 
1986-01-24,Oil Price Drop May Hurt Conservation CrudeOil Prices Decline Again 
1986-01-25,World Oil Prices Stabilize Mexico May Cut Output Stocks In Review Retreat Caused By Crude Oil Prices Gas Oil Prices Already Lower Crude Oil Cost Drop Not Shown At Pump 
1986-01-26,Iran To Cut Crude Oil Output In Half In Response To Lower Crude Oil Prices Continue To Slump Opec Other Producers 
1986-01-27,Crude Prices Decline But Not Pump Prices Crude Price Down Gas Should Follow Iran To Cut Crude Oil Output In Half In Response To Lower Ran To Cut Oil Production By Half Iran To Decrease Production Of Oil 
1986-01-28,Local Gas Oil Prices Resisting Slide Oil Company Tax Cuts Approved Price Of Crude Oil Increases For First Time In 2 Weeks Crude Oil Prices Show Gain Many Factors Causing Gains In Oil Prices 
1986-01-29,Oil Companies Enjoy Big Quarter 
1986-01-30,Oil Price Drop Mixed News Sudden Drop In Price Of Oil Is Encouraging 
1986-01-31,Crude Oil Price Cuts Discussed Furious Oil Price War Probably Wont Affect Prices At The Pump Mexico Cuts Oil Prices Mexico Slashes Oil Prices Sending Price Below 20 Mexico Drops Oil Price 4 Per Barrel Mexico Cuts Prices Of Crude Oil 
1986-02-02,Price Of Crude Oil Decline Closed Below 19 A Barrel 
1986-02-03,Crude Oil Prices Continue To Drop State Keeps Pace 
1986-02-04,Gasoline Prices Falling Throughout State 
1986-02-05,Falling Oil Prices Double Blessing Crude Oil Prices Plunge As Low As 1544 A Barrel 
1986-02-06,Falling Oil Prices Double Blessing Falling Oil Prices Could Help Economy Cheaper Oil Could Mean SloBillion Gift Crude Oil Prices Increase To Above 1 6 A Barrel Falling Oil Prices May Curb Inflation Falling Oil Prices Are Called Good Shock To Us Economy 
1986-02-07,Oil Price Drop May Be Double Blessing 
1986-02-08,Falling Oil Prices Should Help Our Economic Growth Prices Of Crude Oil Rise Still Below Start Of Year Crude Oil Prices Rise Sharply But Still Below Previous Week OpenMarket Oil Prices Jump New OpenMarket Oil Prices Rise Sharply 
1986-02-09,OilPrice Drop Creates Some Stock Opportunities 
1986-02-10,Hi Price Drop Makes Opportunity Dont Hurry To Sell Oil Stock It May Be Too Late For Oil Stock Moves 
1986-02-11,Huge Decline In Fuel Costs Reduces Wholesale Prices 
1986-02-12,Market Oil Prices Could Fall To Pre Oil Price Uncertainty Creates Investment Opportunities Egypt Slashes Crude Oil Price Price Drop Worries Producers 
1986-02-13,Oil Prices Keep Falling With No End In Sight Oil Price Drop Creates Stock Opportunities Oil Prices Continue To Fall Mexico Slashes The Price Of Its Crude Oil Again 
1986-02-14,Venezuela Drops Opecs Official Prices For Crude Oil Gasoline Prices Showing Declines At Pump By Don Hopey Us Crude Dips Below Us20 
1986-02-15,Mexico Lowers Oil Oil Prices Slow Inflation Prices Goods Mexico Cuts Oil Prices Again 
1986-02-18,Diesel Costs Go Down Too Prices Plummet For Heating Oil Heating Oil Prices Below 1 A Gallon 
1986-02-19,Crude Oil Falls Below 15 A Barrel Crude Oil Prices Fall Below 15 A Barrel Low Oil Prices May Not Bring Low Gasoline Prices Crude Oil Prices Hit 7Year Low Crude Oil Price Fall A Boon To Motorists Crude Oil Prices Plunge Below 15Barrel Mark Crude Oil Price Dips To 7Year Low 
1986-02-20,Lasting Decline Not Expected In Gas Prices Despite Low Crude 
1986-02-20,Oil Futures Edna Panel Oks Prices Fall Below 14 Garbage 
1986-02-21,Oil Futures Edna Panel Oks Prices Fall Garbage Fee Hike 
1986-02-21,Oil Futures Prices Ion Below Up Mark 
1986-02-21,Oil Futures Slide Below 14 A Barrel 
1986-02-22,A Good Lose For Chemistry 
1986-02-22,Gasoline This Summer May Hit 8090c Gallon 
1986-02-23,Phillips Letters Pump White Oil Controversy
1986-02-23,Refiners Breathe A Sigh Of Cheaper Crude Oil Revived The 
1986-02-24,Consumers Not Seeing Oil Price Drop Results 
1986-02-25,Gearing Up For A Crude Case Of Give And Take Happens If And 
1986-02-25,Pumps Dont Reflect CrudeOil Prices 
1986-02-26,Enjoy Gas Wars While They Last 
1986-02-26,Retail Prices Rise Only 03 Percent In January 
1986-02-27,Fuel Prices Lag Behind Drop In Crude Oil Cost 
1986-02-27,NonOpec Producers Blamed For Price Fall 
1986-02-28,Oil Import Tax Running Out Of Gas In Washingtor 
1986-03-01,Jii Tutures Prices Take Large Drop 
1986-03-01,Market Slow To Reflect Oil Prices 
1986-03-01,Price Of Main Grade Us Oil Takes A Brief Plunge To Below 1 
1986-03-01,Warnings Issued Against Oil Tax 
1986-03-02,Lower Gas Prices Trickle And Ripple 
1986-03-03,Bg Gas Prices Falling 
1986-03-03,Crude Prices Lowest In Eight Years 
1986-03-03,High Gasoline Prices Curb Travel Survey 
1986-03-03,Oil Overcharges Could Exceed 10 Billion 
1986-03-03,Oil Price Drop May Lower Gas Cost Postal Rate Increases 
1986-03-03,Steel Output Rises Crude Oil Prices Continue Slide 
1986-03-04,Crude Oil Prices Drop To Nearly 12 
1986-03-04,Oil Price Decline Fails To Slacken 
1986-03-04,Oil Price Slumps 
1986-03-04,Oil Prices Continue Slide No End Yet In Sight 
1986-03-04,Oil Prices Plunge Below 13 A Barrel 8 Oil No Longer 
1986-03-04,Oil Still Dropping When Will It End Barrel Cost To 
1986-03-04,Us Crude Oil Price Plunging Toward Production Cost 
1986-03-04,Us Crude Oil Prices Drop Below 13 A Barrel 
1986-03-05,Abu Dhabi Cuts Crude Prices By One Third 
1986-03-05,British Crude Oil Drops Below 
1986-03-05,Economic Index Drops 06 Percent 
1986-03-05,Gasoline Prices Dropping Unleaded Rates Fall Below 1 For 
1986-03-06,Mexico Egypt Cut Oil Prices Associated Press 
1986-03-06,Oil Price Drop Causes Closure Of 1500 Texaco Wel 
1986-03-06,Oil Prices Fall To Below Us12 Situation Could Make Output 
1986-03-06,Oil Prices Fluctuate 
1986-03-06,Texaco Closes 1500 Of Kern River Oil Wells 
1986-03-06,Texaco Closes 1500 Oil Wells 
1986-03-06,Texaco Closes Down Oil Wells 
1986-03-06,Us Crude Oil Futures Prices Fluctuate Sharply By Kick 
1986-03-07,Carney Wont Set Crude Oil Base Price 
1986-03-07,Hot CrudeOil Spill Kills Pair In La 
1986-03-07,No Floor Price For Oil 
1986-03-09,Canada Mexico Fight Off Saudi Oil In Us 
1986-03-09,Texaco Closes Down 1500 Oil Wells 
1986-03-10,Oil Traders Awaiting Soviet Pricing Move 
1986-03-10,The Price Of Crude Oil 
1986-03-11,Revenues Drop With Oil Continued Or With The Alberta And 
1986-03-12,Drive To Increasing Use Of Gasohol Stalling 
1986-03-13,Oil Firms Get Blame For Gas Cost 
1986-03-13,Oil Prices Post Further Gains By The Associated Press 
1986-03-13,Oil Profit Producer 
1986-03-14,2 Us Oil Companies Announce 6 Billion In Exploration Cuts 
1986-03-14,Big Oil Firms Cut Exploration Funding Analysts Fear Country 
1986-03-14,Oil Companies Cut Oh Exloration Budgets 
1986-03-14,Oil Firms Slash Exploration Budgets 
1986-03-14,Sharp Oil Exploration Cuts Set 
1986-03-14,Shell Not Disturbed By The Slump In Oil Price 
1986-03-15,On Second Thought By Joy Brushort 
1986-03-15,State To Screen Oil At Surry Street Refinery 
1986-03-16,Refugio Oil Ranks 
1986-03-17,Bca Govt Will Receive 800m Extra From Oil 
1986-03-18,Low Oil Prices Could Threaten SelfSufficiency 
1986-03-18,Mexicos Fortunes Rise Fall With World Price Of Crude Oil 
1986-03-18,No Intention Of Regulating Oil Prices Carney Says 
1986-03-19,Oil War Of Nerves Now It Is The Major Oil Companies Turn To 
1986-03-20,24 The Age Thursday 20 March 1986 Business Age Oil Export 
1986-03-20,Oil And Gas Executives Say Oil Import Fee Is Quick Fix 
1986-03-20,Oil Prices Put Texas In Slump 
1986-03-21,High Cost At The Gas Pumps Has Ontarios Premier Angry 
1986-03-22,Oil Futures Prices Stage Good Advance 
1986-03-22,Oil Prices To Stay At Low Levels 
1986-03-23,Gas Prices Plummet 
1986-03-23,Opec Stalemate Depresses Prices Experts Say They Expect Oil 
1986-03-23,Very Hard Times Come To Texas In Gas Industry 
1986-03-24,Gasoline Prices Show Biggest Drop Ever 
1986-03-24,Oil Prices To Level Off For A While 
1986-03-25,Analysts Expect Leveling Of Oil Prices 
1986-03-25,Analysts Oil May Level Off At 10 To 11 Per Barrel 
1986-03-25,Analysts Say Oil Prices May Level Off At 1012 Range 
1986-03-25,Crude Oil Prices May Level About Per Barrel 
1986-03-25,Oil Price Drop Not Hurting Exports 
1986-03-25,Opec Failure Triggers Another Oil Price Slide 
1986-03-25,Opec Unable To Agree On Crude Prices 
1986-03-26,Crude Prices Lowest In 10 Years 
1986-03-27,Citgo Oil Price Cut Further 
1986-03-27,Fuel Drop But Govt Is Still Ahead 
1986-03-28,Oil Futures Prices Fall Below 12 Mark 
1986-03-28,Oil Prices Continue Plunge As Opec Fails 
1986-03-29,Oil Futures Drop Below 1 1 A Barrel 
1986-03-29,Petition Asks State Panel To Hold Oil Price At 20 
1986-03-31,Oil Prices Decline To 8Year Low Point 
1986-03-31,Oil Prices Plummet Below 11 A Barrel 
1986-04-01,Crude Oil Prices At Record Low 
1986-04-01,Crude Oil Prices Decline As Low As Per Barrel 
1986-04-01,Crude Oil Prices Fall Below LlABarrel 
1986-04-01,Oil Price Levels Continue Tumble 
1986-04-01,Oil Prices Drop To Lowest Level In Years 
1986-04-01,Oil Prices Hit New Low 
1986-04-01,Oil Prices Plunging Lowest Since 77 
1986-04-02,Crude Oil Exports Up 36 In 1985 Statistics Canada Reports
1986-04-02,Crude Oil Price Down To Us980 
1986-04-02,Oil Falls Below 10 a Barrel Rebounds on Bush Remarks
1986-04-02,Oil Falls To Lowest Level Since 1977 Us Seeks Stability In 
1986-04-02,Oil Price Falls To Mid70s Low Of Under 10 
1986-04-02,Oil Prices Dip Below 1 0 Mark By Rick Gladstone 
1986-04-02,Oil Prices Drop Below 10 A Barrel But Price Rises After Us 
1986-04-02,Oil Prices Rally After Dipping To Lowest Price In Eight Years 
1986-04-03,Opec Not Dead Oil Experts Warn 
1986-04-04,Crude Heating Oil Prices Up A Bit 
1986-04-04,Us Oil Import Tariff Unlikely Miles 
1986-04-05,On Futures Prices Gain For Fourth Day Press Gain Fourth 
1986-04-05,Traders Divided Future Of Oil Market 
1986-04-06,Strike Fears Boost Oil Prices 
1986-04-07,Apea Chief Asks For Oil Tax Relief 
1986-04-07,Norwegian Strike Boosts Price Of North Sea Oil 
1986-04-08,Oil Prices Continue Last Weeks Rally 
1986-04-08,Protection From Price Increases 
1986-04-08,States Lose Money From Falling Oil Prices 
1986-04-08,World Oil Prices Rise 
1986-04-09,Falling Prices Hit Oil Future Market Again Soviet Union 
1986-04-09,Oil Prices Plunge In Heavy Trading 
1986-04-09,Reagan Hopes Oil Prices Stabilize 
1986-04-09,Texaco Economist Warns Of Dangers To Us In Continued 
1986-04-10,Crude Oil Prices Make Some Gains 
1986-04-10,Market Sends Oil Futures Prices Higher 
1986-04-10,Sale Of Soviet Crude Caps Oil Price Rally 
1986-04-11,Gasoline Cost Up As Supplies Slow 
1986-04-11,Oil Prices Tipped To Drop Below Us10 
1986-04-11,Texaco Opposes Oil Quotas 
1986-04-12,Prices Drop Sharply In March 
1986-04-13,Gasoline Energy Top Prices Decline 
1986-04-13,Xicos Plan May Pump Oil Price War 
1986-04-14,Oil Industry Not Expected To Reflect Price Fall 
1986-04-14,Warning Is Issued On Possible Energy Crisis 
1986-04-15,Analysts Warn About Another Energy Crunch 
1986-04-15,For Us Opec Hikes Market Share 
1986-04-15,Low Prices Luring Us Back To Opec Oil 
1986-04-15,New Reliance On Opec Oil Seen As Threat 
1986-04-15,Opec Increases Us Market 
1986-04-15,Opec Increasing Us Market Share 
1986-04-15,Us Oil Imports Increasing From Opec 
1986-04-16,Third Round Of Opec Talks Produces No Agreement 
1986-04-16,Wilmington Refinery Owner Waits For The Price Of Oil To Rise
1986-04-17,Business Opec Fails Again Saudis May Drive Prices Lower 
