,return,Dow Jones,S&P500,GDP,CPI,Inflation,BDI,30_yield,3m_yield,7_yield
2000-12-01,-0.1783840542623225,-0.8230771562361008,-0.6319287827529141,-1.464707099077216,-1.4636967844353557,1.8507803772271474,-0.32940568544623533,1.6415748837225086,2.7066271333236305,2.1385095238507645
2000-12-08,-0.06563495001405802,-0.7827470926837558,-0.5813077064148572,-1.4641381465943082,-1.4612542525844916,1.6693910384191881,-0.3492832212660823,1.5626917285655444,2.6257952798527384,2.0041979736766447
2000-12-15,0.04117287154132802,-0.8157781241961887,-0.6347811536469692,-1.463569194111401,-1.458811720733627,1.4880016996112289,-0.34112833477588866,1.4662789833736993,2.5853793531172924,1.8856877823465392
2000-12-22,0.10374113404401283,-0.7919392146031179,-0.6405230889678027,-1.4630002416284926,-1.456369188882763,1.3066123608032696,-0.3406186543702516,1.4312198033039376,2.152351566666085,1.7513762321724198
2000-12-29,0.13174776583493766,-0.7739602084598691,-0.6272518938508865,-1.4624312891455855,-1.453926657031899,1.1252230219953103,-0.34469609761534836,1.4838085734085804,2.51032120346575,1.822482346970483
2001-01-05,-0.09608959315101413,-0.7887959486074213,-0.6475614845721377,-1.4609465455448918,-1.463735554782195,1.0431425874141778,-0.3492832212660823,1.4399845983213782,2.0657460093758435,1.6407667202643212
2001-01-12,-0.14323459596721136,-0.8050327891742273,-0.6288540420142786,-1.4587749586058585,-1.482733024733361,1.0355438310031655,-0.35743810775627594,1.632810088705068,2.1869937895821816,1.8856877823465392
2001-01-19,-0.08461808474687846,-0.7976398750875625,-0.6066367282999959,-1.4566033716668252,-1.5017304946845274,1.0279450745921541,-0.37680596317048576,1.571456523582985,2.1350304552080366,1.806680988126469
2001-01-26,-0.18484853183231875,-0.7890371898161648,-0.5951438136382137,-1.4544317847277917,-1.5207279646356937,1.0203463181811425,-0.3971931793959698,1.6415748837225086,2.0946145284725906,1.8777871029245323
2001-02-02,-0.2423491651151072,-0.7647799703438934,-0.600218865525809,-1.452260197788759,-1.5397157420001502,0.9864707019628791,-0.4170707152158168,1.5276325484957827,2.031103786459747,1.7671775910164338
2001-02-09,-0.22580750029564228,-0.7746019338427335,-0.6323640262209539,-1.4500886108497253,-1.5586453638443478,0.7949339269011105,-0.4109545503481715,1.4136902132690568,2.031103786459747,1.7355748733284058
2001-02-16,-0.29736295840108223,-0.7724188791606562,-0.6446164124719027,-1.447917023910692,-1.5775749856885457,0.6033971518393406,-0.3859802104719536,1.4838085734085804,2.008008971182349,1.806680988126469
2001-02-23,-0.2888451710539921,-0.8149533882411741,-0.6961728665903651,-1.4457454369716587,-1.5965046075327434,0.41186037677757137,-0.3722188395197519,1.5101029584609018,1.9329508215308064,1.7829789498604478
2001-03-02,-0.06421903691173163,-0.8120525518345597,-0.7069897407485428,-1.4435738500326254,-1.6132727825406603,0.2687215394430764,-0.3910770145283246,1.4136902132690568,1.9040823024340594,1.6802701173743564
2001-03-09,0.10422473779928683,-0.790862542016312,-0.7076935916140014,-1.441402263093592,-1.6170722765308938,0.415970328472228,-0.388018932094502,1.361101443164414,1.8347978566018661,1.6644687585303424
2001-03-16,0.06513203217985847,-0.8884535238055725,-0.7844586690998202,-1.4392306761545586,-1.620871770521127,0.5632191175013802,-0.39005765371705037,1.3260422630946522,1.7308711878535765,1.5301572083562227
2001-03-23,0.08706666658861885,-0.926318886535583,-0.7943680888896977,-1.4370590892155253,-1.62467126451136,0.7104679065305324,-0.42267719967782486,1.343571853129533,1.5865285923698407,1.5222565289342158
2001-03-30,-0.07680432212633194,-0.881873461870536,-0.7753828818640532,-1.434887502276492,-1.6284707585015934,0.8577166955596847,-0.428283684139833,1.4838085734085804,1.59230229618919,1.585461964310272
2001-04-06,-0.23972321774932348,-0.8922943690600493,-0.8049256257710744,-1.4342787240848593,-1.6297566416717573,0.9427079128157649,-0.4272643233285588,1.4838085734085804,1.3844489586926105,1.5380578877782298
2001-04-13,-0.19350471103514044,-0.8523826153869046,-0.7539249266886856,-1.4342950693921888,-1.6300370805138937,1.0027961013626179,-0.41503199359326837,1.6152804986701872,1.4248648854280566,1.7671775910164338
2001-04-20,-0.22406550348546989,-0.7985596814696679,-0.6988400611725634,-1.434311414699517,-1.63031751935603,1.06288428990947,-0.4109545503481715,1.7730468089841154,1.2862959937636702,1.822482346970483
2001-04-27,-0.29857914223579135,-0.77120316607423,-0.6895140937303621,-1.4343277600068451,-1.6305979581981664,1.1229724784563226,-0.41350295237635704,1.7905763990189962,1.3324856243184655,1.8540850646585112
2001-05-04,-0.22356225785467654,-0.7544244240730053,-0.6769561326497738,-1.4343441053141734,-1.629595098559928,1.161441370288363,-0.40228998345234085,1.650339678739949,1.268974882305622,1.7434755527504127
2001-05-11,-0.19287219229001093,-0.769865049812924,-0.6963487727816041,-1.4343604506215017,-1.62688117428119,1.1710845331673179,-0.4109545503481715,1.8519299641410796,1.2920696975830195,1.9646945765666097
2001-05-18,-0.10117346982760311,-0.7127716932037566,-0.6534793260842102,-1.4343767959288303,-1.6241672500024515,1.1807276960462736,-0.4338901686018411,1.746752423931794,1.1939167326540792,1.9172905000345675
2001-05-25,0.07948930311420944,-0.7479917212999597,-0.6665096111153102,-1.4343931412361586,-1.6214533257237136,1.190370858925229,-0.45121930239350255,1.8344003741061985,1.2227852517508264,1.9962972942546378
2001-06-01,0.20429086388399395,-0.7497695382865617,-0.6824571578847911,-1.4344094865434869,-1.6187394014449756,1.2000140218041848,-0.46447099294006716,1.7029284488445917,1.228558955570176,1.8856877823465392
2001-06-08,0.6098313622535195,-0.7513631563206747,-0.6784842328984736,-1.4344258318508154,-1.6265916890247911,1.1769008446132891,-0.45223866320477674,1.7204580388794726,1.2112378441121274,1.8935884617685463
2001-06-15,0.5317489420719131,-0.7933557639667739,-0.7253452578736724,-1.4344421771581437,-1.6344439766046064,1.1537876674223928,-0.4461224983371315,1.6766340637922703,1.1419533982799344,1.790879629282455
2001-06-22,0.5054238920148632,-0.7956196285118785,-0.7151673437366276,-1.434458522465472,-1.6422962641844219,1.130674490231498,-0.44918058077095413,1.5889861136178658,1.1015374715444883,1.6802701173743564
2001-06-29,0.5142471729325023,-0.8077636871924164,-0.7160656410345612,-1.4344748677728003,-1.6501485517642374,1.107561313040603,-0.47721300308099474,1.7379876289143537,1.217011547931477,1.9172905000345675
2001-07-06,0.060067475349917625,-0.8374399210088751,-0.7473588550348623,-1.4337436863017365,-1.654330579843283,1.0752555604374534,-0.5154390335037773,1.7379876289143537,1.2054641402927782,1.8856877823465392
2001-07-13,0.12091273440342733,-0.8034070848709709,-0.7241227324546121,-1.4327134941193151,-1.657044504122021,1.039272777669404,-0.5704845173125842,1.6415748837225086,1.1996904364734287,1.7829789498604478
2001-07-20,0.08537541532412565,-0.7989399631780321,-0.7285959048035469,-1.431683301936894,-1.659758428400759,1.0032899949013545,-0.6031040632733587,1.553926933548104,1.1477271020992839,1.6802701173743564
2001-07-27,-0.08779135729812593,-0.8179516718355567,-0.7332542534643385,-1.430653109754473,-1.6624723526794973,0.9673072121333044,-0.6352139288284961,1.5626917285655444,1.1592745097379826,1.6407667202643212
2001-08-03,-0.18615136675550184,-0.8065301484009105,-0.7253545279942905,-1.4296229175720514,-1.66278251545421,0.995007718084047,-0.6550914646483431,1.5977509086353063,1.1419533982799344,1.6881707967963635
2001-08-10,-0.2241015052331288,-0.8180015838097795,-0.7477570180204302,-1.4285927253896304,-1.6570832744688604,1.1819164458317701,-0.6571301862708915,1.536397343513223,1.0899900639057893,1.601263323154286
2001-08-17,-0.2475765464547875,-0.8388540936118539,-0.7738640517359715,-1.4275625332072093,-1.6513840334835104,1.368825173579494,-0.6657947531667222,1.457514188356259,1.0495741371703433,1.4985544906681947
2001-08-24,-0.1562291336069726,-0.8171792246154423,-0.7526005429930788,-1.4265323410247879,-1.6456847924981606,1.5557339013272173,-0.6831238869583837,1.4750437783911399,1.08421636008644,1.5538592466222438
2001-08-31,-0.089574027588648,-0.8734395266072248,-0.8001562617633697,-1.4255021488423667,-1.6399855515128108,1.7426426290749406,-0.6973949383162225,1.422455008286497,1.0553478409896928,1.4748524524021736
2001-09-07,0.021853626629373367,-0.9143079264529727,-0.8444241400710629,-1.4244719566599457,-1.6528728148021323,1.511627797770215,-0.679556124118924,1.422455008286497,0.9976108027961985,1.4353490552921384
2001-09-14,0.05510292525517807,-0.9143483313844863,-0.8381636432468791,-1.4234417644775241,-1.668857828803899,1.2109590399567474,-0.6484656193750608,1.3873958282167353,0.6338674621771843,1.150924596099885
2001-09-21,0.18393119756878987,-1.077120786367682,-0.9555385755294565,-1.4224115722951032,-1.6848428428056663,0.9102902821432803,-0.6703818768174561,1.5977509086353063,0.4086930132225564,1.2457327491639696
2001-09-28,0.7218510891841428,-1.0044216191515252,-0.8859508889321169,-1.421381380112682,-1.7008278568074335,0.6096215243298133,-0.6968852579105854,1.4487493933388185,0.4952985705127979,1.1983286726319273
2001-10-05,0.7920420087593925,-0.9720727179534703,-0.8577601129820537,-1.4197799941315312,-1.7143470767502325,0.4384010004544086,-0.7004530207500451,1.3523366481469734,0.3740507903064598,1.11142119898985
2001-10-12,0.695686930638627,-0.9454066515347807,-0.8389878926301202,-1.417750212801333,-1.7260169511488066,0.364266652032551,-0.6928078146654886,1.4487493933388185,0.4086930132225564,1.2299313903199556
