"날짜","종가","시가","고가","저가","거래량","변동 %"
"2005- 11- 18","2,898.00","2,898.00","2,898.00","2,898.00","","-1.26%"
"2005- 11- 17","2,935.00","2,935.00","2,935.00","2,935.00","","-1.87%"
"2005- 11- 16","2,991.00","2,991.00","2,991.00","2,991.00","","-1.25%"
"2005- 11- 15","3,029.00","3,029.00","3,029.00","3,029.00","","-0.62%"
"2005- 11- 14","3,048.00","3,048.00","3,048.00","3,048.00","","0.49%"
"2005- 11- 11","3,033.00","3,033.00","3,033.00","3,033.00","","0.97%"
"2005- 11- 10","3,004.00","3,004.00","3,004.00","3,004.00","","1.97%"
"2005- 11- 09","2,946.00","2,946.00","2,946.00","2,946.00","","0.37%"
"2005- 11- 08","2,935.00","2,935.00","2,935.00","2,935.00","","-0.34%"
"2005- 11- 07","2,945.00","2,945.00","2,945.00","2,945.00","","-0.74%"
"2005- 11- 04","2,967.00","2,967.00","2,967.00","2,967.00","","-0.70%"
"2005- 11- 03","2,988.00","2,988.00","2,988.00","2,988.00","","-1.39%"
"2005- 11- 02","3,030.00","3,030.00","3,030.00","3,030.00","","-1.66%"
"2005- 11- 01","3,081.00","3,081.00","3,081.00","3,081.00","","-1.03%"
"2005- 10- 31","3,113.00","3,113.00","3,113.00","3,113.00","","-0.86%"
"2005- 10- 28","3,140.00","3,140.00","3,140.00","3,140.00","","-0.29%"
"2005- 10- 27","3,149.00","3,149.00","3,149.00","3,149.00","","0.32%"
"2005- 10- 26","3,139.00","3,139.00","3,139.00","3,139.00","","0.45%"
"2005- 10- 25","3,125.00","3,125.00","3,125.00","3,125.00","","0.29%"
"2005- 10- 24","3,116.00","3,116.00","3,116.00","3,116.00","","-0.45%"
"2005- 10- 21","3,130.00","3,130.00","3,130.00","3,130.00","","-1.01%"
"2005- 10- 20","3,162.00","3,162.00","3,162.00","3,162.00","","-2.01%"
"2005- 10- 19","3,227.00","3,227.00","3,227.00","3,227.00","","-2.36%"
"2005- 10- 18","3,305.00","3,305.00","3,305.00","3,305.00","","-1.67%"
"2005- 10- 17","3,361.00","3,361.00","3,361.00","3,361.00","","-0.27%"
"2005- 10- 14","3,370.00","3,370.00","3,370.00","3,370.00","","0.99%"
"2005- 10- 13","3,337.00","3,337.00","3,337.00","3,337.00","","1.96%"
"2005- 10- 12","3,273.00","3,273.00","3,273.00","3,273.00","","2.22%"
"2005- 10- 11","3,202.00","3,202.00","3,202.00","3,202.00","","2.07%"
"2005- 10- 10","3,137.00","3,137.00","3,137.00","3,137.00","","1.26%"
"2005- 10- 07","3,098.00","3,098.00","3,098.00","3,098.00","","1.18%"
"2005- 10- 06","3,062.00","3,062.00","3,062.00","3,062.00","","1.42%"
"2005- 10- 05","3,019.00","3,019.00","3,019.00","3,019.00","","1.27%"
