Date,Open,High,Low,Close,Adj Close,Volume
2017-12-01,3.180000,3.500000,3.170000,3.490000,3.465902,4129400
2017-12-04,3.490000,3.680000,3.340000,3.370000,3.346730,2372600
2017-12-05,3.380000,3.450000,3.300000,3.420000,3.396385,2030000
2017-12-06,3.360000,3.360000,3.020000,3.050000,3.028940,2419900
2017-12-07,3.080000,3.130000,3.020000,3.080000,3.058733,1255700
2017-12-08,3.110000,3.140000,3.030000,3.060000,3.038871,1249600
2017-12-11,3.080000,3.140000,3.040000,3.050000,3.028940,1010200
2017-12-12,3.080000,3.100000,2.990000,3.010000,2.989216,1354700
2017-12-13,3.020000,3.070000,2.900000,2.910000,2.889907,1966300
2017-12-14,2.900000,2.910000,2.780000,2.780000,2.760804,2126800
2017-12-15,2.790000,2.810000,2.600000,2.600000,2.582047,3107100
2017-12-18,2.600000,2.860000,2.600000,2.790000,2.770735,2329700
2017-12-19,2.800000,2.840000,2.700000,2.710000,2.691288,1800900
2017-12-20,2.730000,2.890000,2.710000,2.830000,2.810459,2130300
2017-12-21,2.820000,3.140000,2.800000,3.080000,3.058733,2423000
2017-12-22,3.080000,3.120000,2.970000,3.040000,3.019009,1766100
2017-12-26,3.050000,3.310000,3.040000,3.300000,3.277214,2424500
2017-12-27,3.290000,3.400000,3.190000,3.320000,3.297076,2064600
2017-12-28,3.310000,3.380000,3.260000,3.330000,3.307006,995600
2017-12-29,3.350000,3.360000,3.290000,3.310000,3.287144,1344900
2018-01-02,3.350000,3.750000,3.350000,3.720000,3.694314,5115500
2018-01-03,3.830000,4.300000,3.820000,4.160000,4.131275,5485800
2018-01-04,4.180000,4.290000,3.910000,4.240000,4.210723,3950500
2018-01-05,4.080000,4.390000,4.030000,4.360000,4.329895,3298400
2018-01-08,4.400000,4.470000,4.240000,4.460000,4.429204,2576100
2018-01-09,4.460000,4.490000,4.210000,4.310000,4.280240,2328400
2018-01-10,4.110000,4.480000,4.090000,4.360000,4.329895,3035300
2018-01-11,4.410000,4.910000,4.370000,4.800000,4.766857,3833600
2018-01-12,4.720000,5.100000,4.680000,4.880000,4.846304,4138400
2018-01-16,4.950000,5.000000,4.730000,4.870000,4.836373,3755800
2018-01-17,4.860000,4.960000,4.700000,4.720000,4.687408,2618500
2018-01-18,4.700000,4.700000,4.240000,4.540000,4.508651,4475900
2018-01-19,4.470000,4.560000,4.300000,4.540000,4.508651,2140100
2018-01-22,4.440000,4.790000,4.400000,4.770000,4.737063,1947700
2018-01-23,4.790000,4.860000,4.670000,4.830000,4.796649,1948700
2018-01-24,4.880000,4.960000,4.770000,4.800000,4.766857,2262200
2018-01-25,4.880000,5.180000,4.820000,5.030000,4.995268,3374800
2018-01-26,5.030000,5.340000,4.980000,5.170000,5.134301,4221900
2018-01-29,5.140000,5.230000,4.910000,5.100000,5.064785,3359000
2018-01-30,5.050000,5.050000,4.500000,4.690000,4.657616,3173300
2018-01-31,4.730000,5.060000,4.620000,4.840000,4.806581,2726500
2018-02-01,4.850000,4.970000,4.800000,4.870000,4.836373,2009700
2018-02-02,4.770000,4.780000,4.320000,4.350000,4.319963,2451100
2018-02-05,4.250000,4.620000,4.160000,4.300000,4.270308,2664400
2018-02-06,4.150000,4.450000,4.070000,4.210000,4.180930,2904100
2018-02-07,4.210000,4.350000,4.030000,4.100000,4.071689,2671300
2018-02-08,4.110000,4.260000,3.790000,3.810000,3.783692,2669900
2018-02-09,3.830000,3.930000,3.380000,3.560000,3.535418,4203900
2018-02-12,3.740000,4.000000,3.670000,3.990000,3.962449,2531800
2018-02-13,3.960000,4.000000,3.720000,3.750000,3.724107,2024100
2018-02-14,3.700000,4.000000,3.620000,3.960000,3.932656,2251400
2018-02-15,3.990000,4.000000,3.660000,3.860000,3.833347,2816400
2018-02-16,3.830000,4.010000,3.820000,3.890000,3.863140,1732600
2018-02-20,3.910000,4.150000,3.870000,3.900000,3.873071,2474100
2018-02-21,3.900000,4.010000,3.710000,3.820000,3.793623,1552400
2018-02-22,3.870000,4.080000,3.850000,4.070000,4.041897,2564200
2018-02-23,4.090000,4.150000,3.950000,4.000000,3.972380,1708500
2018-02-26,4.030000,4.170000,3.980000,4.150000,4.121345,1702000
2018-02-27,4.130000,4.260000,4.080000,4.090000,4.061759,1736500
