"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 28","1,876.00","1,684.00","1,684.00","1,684.00","","9.01%"
"2024- 04- 21","1,721.00","1,882.00","1,882.00","1,882.00","","-10.32%"
"2024- 04- 14","1,919.00","1,730.00","1,730.00","1,730.00","","10.99%"
"2024- 04- 07","1,729.00","1,594.00","1,594.00","1,594.00","","6.20%"
"2024- 03- 31","1,628.00","1,714.00","1,714.00","1,714.00","","-10.60%"
"2024- 03- 24","1,821.00","2,123.00","2,123.00","2,123.00","","-17.08%"
"2024- 03- 17","2,196.00","2,419.00","2,419.00","2,419.00","","-7.50%"
"2024- 03- 10","2,374.00","2,377.00","2,377.00","2,377.00","","1.24%"
"2024- 03- 03","2,345.00","2,297.00","2,297.00","2,297.00","","6.45%"
"2024- 02- 25","2,203.00","1,871.00","1,871.00","1,871.00","","18.06%"
"2024- 02- 18","1,866.00","1,629.00","1,629.00","1,629.00","","15.90%"
"2024- 02- 11","1,610.00","1,572.00","1,572.00","1,572.00","","4.21%"
"2024- 02- 04","1,545.00","1,436.00","1,436.00","1,436.00","","9.81%"
"2024- 01- 28","1,407.00","1,460.00","1,460.00","1,460.00","","-7.31%"
"2024- 01- 21","1,518.00","1,518.00","1,518.00","1,518.00","","1.00%"
"2024- 01- 14","1,503.00","1,360.00","1,360.00","1,360.00","","2.95%"
"2024- 01- 07","1,460.00","2,022.00","2,022.00","2,022.00","","-30.81%"
"2023- 12- 31","2,110.00","2,093.00","2,093.00","2,093.00","","0.76%"
"2023- 12- 17","2,094.00","2,288.00","2,288.00","2,288.00","","-10.82%"
"2023- 12- 10","2,348.00","2,509.00","2,509.00","2,509.00","","-5.44%"
"2023- 12- 03","2,483.00","3,346.00","3,346.00","3,346.00","","-22.21%"
"2023- 11- 26","3,192.00","2,391.00","2,391.00","2,391.00","","51.86%"
"2023- 11- 19","2,102.00","1,817.00","1,817.00","1,817.00","","15.49%"
"2023- 11- 12","1,820.00","1,655.00","1,655.00","1,655.00","","10.77%"
"2023- 11- 05","1,643.00","1,523.00","1,523.00","1,523.00","","12.38%"
"2023- 10- 29","1,462.00","1,502.00","1,502.00","1,502.00","","-6.46%"
"2023- 10- 22","1,563.00","1,949.00","1,949.00","1,949.00","","-23.61%"
"2023- 10- 15","2,046.00","1,972.00","1,972.00","1,972.00","","5.19%"
"2023- 10- 08","1,945.00","1,991.00","1,991.00","1,991.00","","0.83%"
"2023- 10- 01","1,929.00","1,737.00","1,737.00","1,737.00","","13.40%"
"2023- 09- 24","1,701.00","1,614.00","1,614.00","1,614.00","","6.78%"
"2023- 09- 17","1,593.00","1,439.00","1,439.00","1,439.00","","15.35%"
"2023- 09- 10","1,381.00","1,209.00","1,209.00","1,209.00","","16.44%"
"2023- 09- 03","1,186.00","1,083.00","1,083.00","1,083.00","","11.36%"
"2023- 08- 27","1,065.00","1,107.00","1,107.00","1,107.00","","-1.39%"
"2023- 08- 20","1,080.00","1,223.00","1,223.00","1,223.00","","-12.69%"
"2023- 08- 13","1,237.00","1,135.00","1,135.00","1,135.00","","9.57%"
"2023- 08- 06","1,129.00","1,145.00","1,145.00","1,145.00","","-0.62%"
"2023- 07- 30","1,136.00","1,127.00","1,127.00","1,127.00","","2.34%"
"2023- 07- 23","1,110.00","967.00","967.00","967.00","","13.50%"
"2023- 07- 16","978.00","1,073.00","1,073.00","1,073.00","","-10.28%"
"2023- 07- 09","1,090.00","1,024.00","1,024.00","1,024.00","","8.03%"
"2023- 07- 02","1,009.00","1,068.00","1,068.00","1,068.00","","-7.52%"
"2023- 06- 25","1,091.00","1,233.00","1,233.00","1,233.00","","-12.02%"
"2023- 06- 18","1,240.00","1,065.00","1,065.00","1,065.00","","15.24%"
"2023- 06- 11","1,076.00","1,056.00","1,056.00","1,056.00","","1.99%"
"2023- 06- 04","1,055.00","939.00","939.00","939.00","","14.80%"
"2023- 05- 28","919.00","1,123.00","1,123.00","1,123.00","","-21.59%"
"2023- 05- 21","1,172.00","1,365.00","1,365.00","1,365.00","","-15.32%"
"2023- 05- 14","1,384.00","1,522.00","1,522.00","1,522.00","","-11.17%"
"2023- 05- 07","1,558.00","1,598.00","1,598.00","1,598.00","","0.00%"
"2023- 04- 30","1,558.00","1,552.00","1,552.00","1,552.00","","-1.14%"
"2023- 04- 23","1,576.00","1,517.00","1,517.00","1,517.00","","4.79%"
"2023- 04- 16","1,504.00","1,412.00","1,412.00","1,412.00","","4.81%"
"2023- 04- 09","1,435.00","1,463.00","1,463.00","1,463.00","","-8.01%"
"2023- 04- 02","1,560.00","1,412.00","1,412.00","1,412.00","","12.31%"
"2023- 03- 26","1,389.00","1,456.00","1,456.00","1,456.00","","-6.72%"
"2023- 03- 19","1,489.00","1,542.00","1,542.00","1,542.00","","-3.00%"
"2023- 03- 12","1,535.00","1,465.00","1,465.00","1,465.00","","7.79%"
"2023- 03- 05","1,424.00","1,327.00","1,327.00","1,327.00","","17.59%"
"2023- 02- 26","1,211.00","990.00","990.00","990.00","","37.15%"
"2023- 02- 19","883.00","552.00","552.00","552.00","","64.13%"
"2023- 02- 12","538.00","616.00","616.00","616.00","","-10.63%"
"2023- 02- 05","602.00","608.00","608.00","608.00","","-3.06%"
"2023- 01- 29","621.00","680.00","680.00","680.00","","-8.14%"
"2023- 01- 22","676.00","740.00","740.00","740.00","","-11.40%"
"2023- 01- 15","763.00","946.00","946.00","946.00","","-19.34%"
"2023- 01- 08","946.00","1,139.00","1,139.00","1,139.00","","-16.28%"
"2023- 01- 01","1,130.00","1,250.00","1,250.00","1,250.00","","-25.41%"
"2022- 12- 18","1,515.00","1,548.00","1,548.00","1,548.00","","-2.88%"
"2022- 12- 11","1,560.00","1,361.00","1,361.00","1,361.00","","12.55%"
"2022- 12- 04","1,386.00","1,323.00","1,323.00","1,323.00","","4.68%"
"2022- 11- 27","1,324.00","1,347.00","1,347.00","1,347.00","","0.00%"
"2022- 11- 20","1,324.00","1,177.00","1,177.00","1,177.00","","11.35%"
"2022- 11- 13","1,189.00","1,325.00","1,325.00","1,325.00","","-12.25%"
"2022- 11- 06","1,355.00","1,337.00","1,337.00","1,337.00","","2.42%"
"2022- 10- 30","1,323.00","1,377.00","1,377.00","1,377.00","","-13.75%"
"2022- 10- 23","1,534.00","1,797.00","1,797.00","1,797.00","","-15.67%"
"2022- 10- 16","1,819.00","1,843.00","1,843.00","1,843.00","","-1.03%"
"2022- 10- 09","1,838.00","1,944.00","1,944.00","1,944.00","","-6.27%"
"2022- 10- 02","1,961.00","1,788.00","1,788.00","1,788.00","","11.42%"
"2022- 09- 25","1,760.00","1,813.00","1,813.00","1,813.00","","-3.08%"
"2022- 09- 18","1,816.00","1,729.00","1,729.00","1,729.00","","16.93%"
"2022- 09- 11","1,553.00","1,256.00","1,256.00","1,256.00","","28.03%"
"2022- 09- 04","1,213.00","1,133.00","1,133.00","1,133.00","","11.69%"
"2022- 08- 28","1,086.00","1,017.00","1,086.00","965.00","","0.37%"
"2022- 08- 21","1,082.00","1,270.00","1,271.00","1,082.00","","-15.40%"
"2022- 08- 14","1,279.00","1,404.00","1,404.00","1,279.00","","-13.41%"
"2022- 08- 07","1,477.00","1,566.00","1,592.00","1,477.00","","-5.32%"
"2022- 07- 31","1,560.00","1,872.00","1,872.00","1,560.00","","-17.68%"
