,return,S&P500,sentiment
1986-01-31,1.1293746753037954,-1.117029312436737,0.0
1986-02-07,1.9486816948692363,-1.114520159017313,0.0
1986-02-14,2.3342403012236153,-1.1098267792141119,0.0
1986-02-21,2.3132889267394576,-1.1054402711189713,0.0
1986-02-28,2.380678794459811,-1.1033643491563496,1.0
1986-03-07,2.3641196056434413,-1.10458281521089,1.0
1986-03-14,2.482917721967546,-1.0946725612819355,0.0
1986-03-21,2.7026374106749342,-1.0975698284974669,0.0
1986-03-28,3.2499215323118555,-1.0924883348981582,0.0
1986-04-04,3.446141309748076,-1.1017667900834052,2.0
1986-04-11,3.8281949046827948,-1.0951960556044875,0.0
1986-04-18,3.6787206092566045,-1.0894105557233076,1.0
1986-04-25,3.1558846231775255,-1.089491797811354,0.0
1986-05-02,2.6376397624071477,-1.096261099577177,1.0
1986-05-09,1.5852350401555042,-1.0934992128880903,1.0
1986-05-16,1.0680747229370051,-1.0980933228200187,0.0
1986-05-23,1.0170511066300478,-1.090340205397373,0.0
1986-05-30,1.548710971875306,-1.0849247639847146,2.0
1986-06-06,1.4025213428727912,-1.0864410947417924,0.0
1986-06-13,1.570322744581491,-1.0863869425312145,0.0
1986-06-20,1.4482393136339458,-1.0847171759201064,0.0
1986-06-27,0.7394240429879244,-1.0828939734549679,1.0
1986-07-04,0.7188245807795367,-1.0809173489079784,2.0
1986-07-11,0.6096637098704563,-1.089554970799635,2.0
1986-07-18,0.6627918478818844,-1.0948440524635519,2.0
1986-07-25,1.9288817612298284,-1.0913601179371877,0.0
1986-08-01,2.172298667442487,-1.0961527813838416,2.0
1986-08-08,3.3463848526294844,-1.0943747103515777,0.0
1986-08-15,3.25248997888573,-1.0851052897162137,0.0
1986-08-22,2.2930560078622206,-1.0823614583547128,2.0
1986-08-29,1.9644011034657651,-1.0798884155904604,0.0
1986-09-05,-0.1465264227253204,-1.0821087388572297,0.0
1986-09-12,-0.16057576761580358,-1.0999796982734382,0.0
1986-09-19,0.024053687952210304,-1.098589727265102,0.0
1986-09-26,0.19288659780121167,-1.0985716857096959,1.0
1986-10-03,0.29159174074207656,-1.0972358669119373,0.0
