,Predictions,Ground Truths
2005-05-27,-0.22711934919326504,-0.3634757237525401
2005-06-03,-0.3189622148255658,-0.2477580556736137
2005-06-10,-0.17394447324796536,-0.0367793062594743
2005-06-17,0.07981646153051696,0.1127306115091572
2005-06-24,0.20255113660692697,0.2064208803251548
2005-07-01,0.18336142134159006,0.2068554527022529
2005-07-08,0.08168260629825962,0.1181805480932088
2005-07-15,-0.0074173478505065935,-0.1323768045125583
2005-07-22,-0.2669544520128308,-0.262172847439072
2005-07-29,-0.30788246008361453,-0.413861156865579
2005-08-05,-0.3873027234726846,-0.5994889488897184
2005-08-12,-0.5347717627951458,-0.5109910680021854
2005-08-19,-0.42222898042547696,-0.2934654744941178
2005-08-26,-0.16677120490087755,-0.2004278030973339
2005-09-02,-0.07831341993685162,0.0094081969193404
2005-09-09,0.12019224553235174,-0.0140769731054143
2005-09-16,0.012463552764217442,-0.1509224789948783
2005-09-23,-0.19122943388276425,0.1309950527766968
2005-09-30,0.1455128852470367,0.0955050478459569
2005-10-07,0.08433254455201177,0.0586918080282187
2005-10-14,-0.007780954428029278,0.0896942832655537
2005-10-21,0.029312578138738152,-0.3437018098330519
2005-10-28,-0.42406424026144,-0.3940547557695072
2005-11-04,-0.3963177637772007,-0.3640420076214473
2005-11-11,-0.28930734067989927,-0.301149764556679
2005-11-18,-0.19471189869965977,-0.2579305601001038
2005-11-25,-0.1570309261538285,-0.2946342049215643
2005-12-02,-0.22039643068521425,-0.4209620628485513
2005-12-09,-0.3667077512284184,-0.5298830867479521
2005-12-16,-0.4665794594662168,-0.363023769761226
2005-12-23,-0.2656491746667127,-0.2476263903475735
2005-12-30,-0.12380249527384597,-0.2379941042610544
2006-01-06,-0.14406014622096522,-0.0789266715922267
2006-01-13,0.008661957590103311,-0.263832177183882
2006-01-20,-0.23259225479083662,-0.4546985618555886
2006-01-27,-0.4340168281742777,-0.4270909471841428
2006-02-03,-0.365954859083734,-0.5527444655138306
2006-02-10,-0.46457435282152765,-0.4722868290014073
2006-02-17,-0.37343601464981946,-0.5073720053557303
2006-02-24,-0.40346542879688646,-0.4144675755366244
2006-03-03,-0.3112795374124834,-0.2862886759977517
2006-03-10,-0.17416251534074334,-0.2420195628390757
2006-03-17,-0.1448873535552913,-0.1506241338437106
2006-03-24,-0.06761287057491182,-0.1496602693474938
2006-03-31,-0.0933844437129609,-0.2878340645777342
2006-04-07,-0.2312751181430791,-0.4636973297556054
2006-04-14,-0.4348929763677814,-0.5988359057334792
2006-04-21,-0.5360333460589607,-0.7339670005222765
2006-04-28,-0.665765783327941,-0.8062703096019491
2006-05-05,-0.6781855744442197,-0.5829242216976909
2006-05-12,-0.44709991889860495,-0.3089189764823363
2006-05-19,-0.14398003893135686,-0.207273784488406
2006-05-26,-0.06375640500374177,-0.1436343244528284
2006-06-02,-0.055351458692807276,-0.2352847737605536
2006-06-09,-0.2042599954723333,-0.4394858068011488
2006-06-16,-0.3834388746676712,-0.4054086507767409
2006-06-23,-0.32747596214439656,-0.4825497291622769
2006-06-30,-0.3800436740239384,-0.5948703970084597
2006-07-07,-0.5242378928076061,-0.6575020408960683
2006-07-14,-0.5839273845761367,-0.8415125528698939
2006-07-21,-0.7393944984647022,-0.7442355546241718
2006-07-28,-0.6478782061217518,-0.7082601039091923
2006-08-04,-0.5942528344862382,-0.6004903530922072
2006-08-11,-0.48982100604733725,-0.5383081363695641
2006-08-18,-0.43374099698805707,-0.5832146312737938
2006-08-25,-0.4876554489241659,-0.5697603782775987
2006-09-01,-0.4811530610220682,-0.6145893768007038
2006-09-08,-0.5190564438468528,-0.6590723730578772
2006-09-15,-0.5582435566722825,-0.6429040509213606
2006-09-22,-0.5350852505278202,-0.4812464411928737
2006-09-29,-0.3331430348903696,-0.3968485452612355
2006-10-06,-0.28714175786377916,-0.1728487854889182
2006-10-13,-0.058594456423238635,-0.1919261064340085
2006-10-20,-0.11376341622012869,-0.2893871628206603
2006-10-27,-0.25695452068239033,-0.2501552600681468
2006-11-03,-0.2094193863791029,-0.2516327142391905
2006-11-10,-0.19063162006450923,-0.1575566199464556
2006-11-17,-0.07827834621898373,-0.0978280966267185
2006-11-24,-0.021007712180429045,-0.2314723160887091
2006-12-01,-0.19398702181599442,-0.434087829312742
2006-12-08,-0.3991890799353716,-0.5491286071028845
2006-12-15,-0.476550706797028,-0.7595555668175853
2006-12-22,-0.5856014825308697,-0.7088661250930651
2006-12-29,-0.5731591883031176,-0.7744685027708991
2007-01-05,-0.6210301803970374,-0.5248643902727139
2007-01-12,-0.3915002026525153,-0.1444427977965972
2007-01-19,0.03101017628047796,0.0123226489297585
2007-01-26,0.17445282183974253,0.260397631928684
2007-02-02,0.3529341682614583,0.4430051513312624
2007-02-09,0.35574227899965805,0.3150155335210522
2007-02-16,0.1576090503300197,0.3535909490179427
2007-02-23,0.27645360362068766,0.1476762382170573
2007-03-02,0.11483371413487735,-0.284135320670712
2007-03-09,-0.3047800534409111,-0.4093041181044775
2007-03-16,-0.37891369887518994,-0.7399615113607219
2007-03-23,-0.6243110774614432,-0.8587011621417661
2007-03-30,-0.6957077402616951,-0.6845796808645962
2007-04-06,-0.5198077131926087,-0.6773138429073046
2007-04-13,-0.5037287531569208,-0.6326639436693149
2007-04-20,-0.4785308499706206,-0.5148546734452587
2007-04-27,-0.3934235002888405,-0.541782815155718
2007-05-04,-0.4000540518801543,-0.6284436438471332
2007-05-11,-0.4961573293181527,-0.6734053233896548
2007-05-18,-0.5345857933915599,-0.6874549817602384
2007-05-25,-0.53494841448088,-0.669362142166754
2007-06-01,-0.46863093160427977,-0.6556909909777447
2007-06-08,-0.4996362316451585,-0.6079851999081076
2007-06-15,-0.4668088589932001,-0.5081180796779283
2007-06-22,-0.3752180317548272,-0.6098441162707512
2007-06-29,-0.4828386183429662,-0.6445714839605835
2007-07-06,-0.5521978777718479,-0.6885071392937903
2007-07-13,-0.5510510217283939,-0.8722043663289794
2007-07-20,-0.6443800614843874,-0.8094684049168869
2007-08-03,-0.6338760660895401,-0.6516333955299973
2007-08-10,-0.49704979378030373,-0.3169281955085537
2007-08-17,-0.13681137931108983,-0.3275890078037237
2007-08-24,-0.2053718819141181,-0.3268328301358932
2007-08-31,-0.25063793218584196,-0.4371545437015769
2007-09-07,-0.37826605739382485,-0.8185385974309761
2007-09-14,-0.7130587738700325,-0.8267630282666302
2007-09-21,-0.6471057589901438,-0.9377618995761424
2007-09-28,-0.743460635277737,-0.9173461943626348
2007-10-05,-0.7238938496474406,-0.7863721134413136
2007-10-12,-0.6099547424976115,-0.6034839062787434
2007-10-19,-0.4421247851440216,-0.4845003976762299
2007-10-26,-0.3380846111575638,-0.4420971065118539
2007-11-02,-0.3153804345870824,-0.2046969719716707
2007-11-09,-0.08217006229606819,-0.1010622090979418
2007-11-16,0.008944727261186378,-0.0322514096870992
2007-11-23,0.03134081748441411,0.0746210084400731
2007-11-30,0.09057905322041769,-0.036374140203088
2007-12-07,-0.07790533140840605,-0.1858762707644211
2007-12-14,-0.22522881687641955,-0.1152623642008684
2007-12-21,-0.09803094973114213,-0.1914197430020151
2007-12-28,-0.14258965867121243,-0.3361032021344499
2008-01-04,-0.2824380304206511,-0.3299153522371578
2008-01-11,-0.2591854633969228,-0.3053676962886918
2008-01-18,-0.18536003453109068,-0.4343368798328521
2008-01-25,-0.3600117890478672,-0.3587664880165969
2008-02-01,-0.285509452562582,-0.3565945998543748
2008-02-08,-0.2716249070977427,-0.4030596297211549
2008-02-15,-0.32767832666831803,-0.368103330999591
2008-02-22,-0.2903349155208268,-0.2103357988193196
2008-02-29,-0.11086127628267795,-0.249668784602352
2008-03-07,-0.16884833018296003,-0.1233547324885953
2008-03-14,-0.05919051233513423,-0.1962120540304031
2008-03-21,-0.139984418136539,0.0762330723727566
2008-03-28,0.15678141079957986,0.1769510386209148
2008-04-04,0.2124041728010696,0.2339063173936067
2008-04-11,0.18456103284561254,0.2249920434610628
2008-04-18,0.14801338119465013,-0.1088228521920413
2008-04-25,-0.23716783292165028,-0.4041690579002032
2008-05-02,-0.4534665240801116,-0.5546153088916294
2008-05-09,-0.4887152470270373,-0.3972824612446277
2008-05-16,-0.26991637605888175,-0.3008019071841364
2008-05-23,-0.15816311203308236,-0.1511186526078632
2008-05-30,0.01115818917097787,-0.0328712888928598
2008-06-06,0.08765184274140063,0.0170221863088134
2008-06-13,0.06479950208090035,0.6404781293984877
2008-06-20,0.7266865107869135,0.6195662695815425
2008-06-27,0.5991421156368808,0.5856777092039419
2008-07-04,0.4113230108907125,0.5263323847744718
2008-07-11,0.34766871255788895,-0.0365295135709449
2008-07-18,-0.22238170793078132,0.1672652831286043
2008-07-25,0.21836201297211727,0.2368088143393825
2008-08-01,0.405643825601266,0.2964887227633278
2008-08-08,0.3864441168216796,0.237061705802191
2008-08-15,0.1813711345233492,0.0860940519866908
2008-08-22,-0.019644517038447593,0.0007067865857708
2008-08-29,-0.04184472142649502,0.1828207716941197
2008-09-05,0.30581165285107736,0.2679266093241647
2008-09-12,0.3786449506651584,0.2064133337941563
2008-09-19,0.1923459441527327,0.6947164125138854
2008-09-26,0.7666428888710366,0.9688028284254616
2008-10-03,1.017317043568932,1.6476018222809987
2008-10-10,1.7280052700755593,2.127564223174688
2008-10-17,2.0459723082993095,2.566509675086177
2008-10-24,2.258490840947072,2.567431886602942
2008-10-31,2.069425786471577,2.5484183135602354
2008-11-07,1.9044586262503957,3.084709952543764
2008-11-14,2.6035629926261286,2.934324096044312
2008-11-21,2.4534674464111634,2.9225782221076515
2008-11-28,2.378386587347977,3.251657310115984
2008-12-05,2.6821342907722276,3.492936964834364
2008-12-12,2.8625099758878796,3.5490189701017365
2008-12-19,2.8364096084443857,3.695740373847805
2008-12-26,2.915065010962848,3.671443231409247
2009-01-02,2.8774184869367536,3.6205512144867487
2009-01-09,2.822311705215897,3.6157839321016927
2009-01-16,2.922069807881774,3.128943317045978
2009-01-23,2.435814696652936,3.1178364172512287
2009-01-30,2.440680108938779,2.8761817423107834
2009-02-06,2.2573531760321375,1.8366655363816216
2009-02-13,1.0544685634722162,1.3537073206749712
2009-02-20,0.7572136358812002,1.7756726346481118
2009-02-27,1.7750874284363807,1.5362204560271062
2009-03-06,1.448427160514916,1.9692859343397748
2009-03-13,1.8590433650640101,2.195742113932849
2009-03-20,1.9621345907838206,2.0669324718979905
2009-03-27,1.63540928032316,1.9893269771504225
2009-04-03,1.5312673439162252,1.878033292894961
2009-04-10,1.4990854414169017,1.8333079563148011
2009-04-17,1.5506695257188297,1.6102065142331414
2009-05-01,1.29990654429677,1.537171771614141
2009-05-08,1.2653712746916554,1.4190174387285304
2009-05-15,1.169866136081456,1.1366215335415455
2009-05-22,0.8417805059544097,0.5245473312646742
2009-05-29,0.15163375604852625,0.1749674225559698
2009-06-05,0.006784400078548317,0.2050946219055288
2009-06-12,0.30612758123434086,0.2010942615569861
2009-06-19,0.34869275347246714,0.0336994827607098
2009-06-26,0.044026393161506305,0.1012502175973365
2009-07-03,0.09226702109320302,-0.0289978139138399
2009-07-10,-0.05901922111460532,0.1240616783288874
2009-07-17,0.15847341970834444,0.2068510719192925
2009-07-24,0.21406515821590905,0.2642895364343806
2009-07-31,0.23468805231730333,0.3740534883549439
2009-08-07,0.3164975793323718,0.3811147647214198
2009-08-14,0.27558485548937284,0.1970200957383434
2009-08-21,0.0324433255628475,0.1636462075400928
2009-08-28,0.07552744678606156,-0.0479389953032821
2009-09-04,-0.09896915882024022,-0.1601556936220427
2009-09-11,-0.19382138096365759,-0.0045483722588918
2009-09-18,0.04890081588441875,0.2168900301320195
