,Predictions,Ground Truths
2005-05-27,-0.2873207851593459,-0.3634757237525401
2005-06-03,-0.3596900794674406,-0.2477580556736137
2005-06-10,-0.20228322502213125,-0.0367793062594743
2005-06-17,0.045244266240066396,0.1127306115091572
2005-06-24,0.17740880770478124,0.2064208803251548
2005-07-01,0.18413397961679417,0.2068554527022529
2005-07-08,0.1200224877612337,0.1181805480932088
2005-07-15,0.05881604109345062,-0.1323768045125583
2005-07-22,-0.24892058347556845,-0.262172847439072
2005-07-29,-0.3141648968726478,-0.413861156865579
2005-08-05,-0.4235972881722493,-0.5994889488897184
2005-08-12,-0.6076571502385288,-0.5109910680021854
2005-08-19,-0.49607442570554183,-0.2934654744941178
2005-08-26,-0.19270201018859529,-0.2004278030973339
2005-09-02,-0.11186022193107424,0.0094081969193404
2005-09-09,0.0768233696261133,-0.0140769731054143
2005-09-16,-0.026254720796898307,-0.1509224789948783
2005-09-23,-0.2556189033415638,0.1309950527766968
2005-09-30,0.14888564207877247,0.0955050478459569
2005-10-07,0.08414492580627933,0.0586918080282187
2005-10-14,-0.003182116447482536,0.0896942832655537
2005-10-21,0.0515593439666385,-0.3437018098330519
2005-10-28,-0.4592724102881388,-0.3940547557695072
2005-11-04,-0.4225719998051014,-0.3640420076214473
2005-11-11,-0.3106871001343677,-0.301149764556679
2005-11-18,-0.23220439436316553,-0.2579305601001038
2005-11-25,-0.20832876541381895,-0.2946342049215643
2005-12-02,-0.24983069598158766,-0.4209620628485513
2005-12-09,-0.44996674932231706,-0.5298830867479521
2005-12-16,-0.5111357298598173,-0.363023769761226
2005-12-23,-0.3237052797945004,-0.2476263903475735
2005-12-30,-0.189180279932115,-0.2379941042610544
2006-01-06,-0.22944940618512744,-0.0789266715922267
2006-01-13,-0.058348888292497764,-0.263832177183882
2006-01-20,-0.2932423342705912,-0.4546985618555886
2006-01-27,-0.4972197487037078,-0.4270909471841428
2006-02-03,-0.430900578504961,-0.5527444655138306
2006-02-10,-0.5025164626902298,-0.4722868290014073
2006-02-17,-0.39243674547534263,-0.5073720053557303
2006-02-24,-0.4261389129712063,-0.4144675755366244
2006-03-03,-0.3253932104919257,-0.2862886759977517
2006-03-10,-0.18784227786208324,-0.2420195628390757
2006-03-17,-0.15520261693274717,-0.1506241338437106
2006-03-24,-0.07959240292928842,-0.1496602693474938
2006-03-31,-0.11545666439502546,-0.2878340645777342
2006-04-07,-0.26824244000928477,-0.4636973297556054
2006-04-14,-0.4974777640288382,-0.5988359057334792
2006-04-21,-0.5834402674315803,-0.7339670005222765
2006-04-28,-0.7897996704885039,-0.8062703096019491
2006-05-05,-0.689998849566616,-0.5829242216976909
2006-05-12,-0.4211249466215731,-0.3089189764823363
2006-05-19,-0.1856570176434782,-0.207273784488406
2006-05-26,-0.08880901504041773,-0.1436343244528284
2006-06-02,-0.14907009933020804,-0.2352847737605536
2006-06-09,-0.30354401200027825,-0.4394858068011488
2006-06-16,-0.42067843965995083,-0.4054086507767409
2006-06-23,-0.4029565643240866,-0.4825497291622769
2006-06-30,-0.45966882721297764,-0.5948703970084597
2006-07-07,-0.5812510888743939,-0.6575020408960683
2006-07-14,-0.6243744528725881,-0.8415125528698939
2006-07-21,-0.797956675479572,-0.7442355546241718
2006-07-28,-0.6674263436640069,-0.7082601039091923
2006-08-04,-0.621085103349541,-0.6004903530922072
2006-08-11,-0.5206152197500283,-0.5383081363695641
2006-08-18,-0.49759705689266076,-0.5832146312737938
2006-08-25,-0.5810394370373484,-0.5697603782775987
2006-09-01,-0.5696570287490484,-0.6145893768007038
2006-09-08,-0.6145944438119506,-0.6590723730578772
2006-09-15,-0.6490158586072456,-0.6429040509213606
2006-09-22,-0.6180458950842241,-0.4812464411928737
2006-09-29,-0.33265220441542853,-0.3968485452612355
2006-10-06,-0.32941022587230684,-0.1728487854889182
2006-10-13,-0.08077203732418266,-0.1919261064340085
2006-10-20,-0.15632713276807866,-0.2893871628206603
2006-10-27,-0.3495399740887577,-0.2501552600681468
2006-11-03,-0.289525671426626,-0.2516327142391905
2006-11-10,-0.28342229170929584,-0.1575566199464556
2006-11-17,-0.158613055822305,-0.0978280966267185
2006-11-24,-0.09631047912770752,-0.2314723160887091
2006-12-01,-0.29599360000366554,-0.434087829312742
2006-12-08,-0.5248564480906306,-0.5491286071028845
2006-12-15,-0.6010059050989324,-0.7595555668175853
2006-12-22,-0.7042604106479788,-0.7088661250930651
2006-12-29,-0.6894219135597369,-0.7744685027708991
2007-01-05,-0.7490903064132793,-0.5248643902727139
2007-01-12,-0.47444794335741125,-0.1444427977965972
2007-01-19,-0.01539624608919353,0.0123226489297585
2007-01-26,0.09280953316569496,0.260397631928684
2007-02-02,0.30222648196314056,0.4430051513312624
2007-02-09,0.39265176803528024,0.3150155335210522
2007-02-16,0.10768213935557563,0.3535909490179427
2007-02-23,0.2393858380741506,0.1476762382170573
2007-03-02,0.04809844616930649,-0.284135320670712
2007-03-09,-0.41705314298255025,-0.4093041181044775
2007-03-16,-0.4725617113506758,-0.7399615113607219
2007-03-23,-0.7588234788033934,-0.8587011621417661
2007-03-30,-0.8041966533990185,-0.6845796808645962
2007-04-06,-0.5925068446400229,-0.6773138429073046
2007-04-13,-0.5674099221543063,-0.6326639436693149
2007-04-20,-0.5403111399599343,-0.5148546734452587
2007-04-27,-0.4488355053583242,-0.541782815155718
2007-05-04,-0.4607046951376678,-0.6284436438471332
2007-05-11,-0.6246264403194022,-0.6734053233896548
2007-05-18,-0.6693997346005175,-0.6874549817602384
2007-05-25,-0.6080203506833781,-0.669362142166754
2007-06-01,-0.5206306102289031,-0.6556909909777447
2007-06-08,-0.5708606118001158,-0.6079851999081076
2007-06-15,-0.51491263559197,-0.5081180796779283
2007-06-22,-0.39809193245645175,-0.6098441162707512
2007-06-29,-0.5356155535275373,-0.6445714839605835
2007-07-06,-0.6423335608113154,-0.6885071392937903
2007-07-13,-0.6269287346593753,-0.8722043663289794
2007-07-20,-0.7348427966203506,-0.8094684049168869
2007-08-03,-0.7199607822561211,-0.6516333955299973
2007-08-10,-0.5604368415300123,-0.3169281955085537
2007-08-17,-0.2306170029836725,-0.3275890078037237
2007-08-24,-0.30760817702485593,-0.3268328301358932
2007-08-31,-0.32885039472096017,-0.4371545437015769
2007-09-07,-0.4507855421757254,-0.8185385974309761
2007-09-14,-0.8287570210418324,-0.8267630282666302
2007-09-21,-0.7640909231868254,-0.9377618995761424
2007-09-28,-0.9032485356204817,-0.9173461943626348
2007-10-05,-0.8588580666518725,-0.7863721134413136
2007-10-12,-0.7158334153726076,-0.6034839062787434
2007-10-19,-0.5077287685606374,-0.4845003976762299
2007-10-26,-0.39501519262848805,-0.4420971065118539
2007-11-02,-0.4336153697029138,-0.2046969719716707
2007-11-09,-0.1591339540423878,-0.1010622090979418
2007-11-16,-0.08645372660348927,-0.0322514096870992
2007-11-23,-0.06882980669926192,0.0746210084400731
2007-11-30,0.05815143053014485,-0.036374140203088
2007-12-07,-0.10458022458747285,-0.1858762707644211
2007-12-14,-0.2772872185853972,-0.1152623642008684
2007-12-21,-0.14642735254206912,-0.1914197430020151
2007-12-28,-0.20151020586267393,-0.3361032021344499
2008-01-04,-0.36264580374077804,-0.3299153522371578
2008-01-11,-0.3324640967675708,-0.3053676962886918
2008-01-18,-0.29199656655238265,-0.4343368798328521
2008-01-25,-0.5130772038926925,-0.3587664880165969
2008-02-01,-0.40649555567262186,-0.3565945998543748
2008-02-08,-0.3844159838728483,-0.4030596297211549
2008-02-15,-0.42405836095279403,-0.368103330999591
2008-02-22,-0.38830117962339866,-0.2103357988193196
2008-02-29,-0.18677536541892775,-0.249668784602352
2008-03-07,-0.2554590759078234,-0.1233547324885953
2008-03-14,-0.2018932071466199,-0.1962120540304031
2008-03-21,-0.2731226715964583,0.0762330723727566
2008-03-28,0.09910266401000259,0.1769510386209148
2008-04-04,0.17501135365007675,0.2339063173936067
2008-04-11,0.15028266028176618,0.2249920434610628
2008-04-18,0.0759552191086168,-0.1088228521920413
2008-04-25,-0.2792529514183785,-0.4041690579002032
2008-05-02,-0.4984946713025767,-0.5546153088916294
2008-05-09,-0.5602430153788809,-0.3972824612446277
2008-05-16,-0.3208924784175248,-0.3008019071841364
2008-05-23,-0.23424556430818982,-0.1511186526078632
2008-05-30,-0.05500725710343757,-0.0328712888928598
2008-06-06,0.0019029838163098778,0.0170221863088134
2008-06-13,-0.034916730570501306,0.6404781293984877
2008-06-20,0.7313624887141249,0.6195662695815425
2008-06-27,0.5086160042372533,0.5856777092039419
2008-07-04,0.361429156415462,0.5263323847744718
2008-07-11,0.34993235685948937,-0.0365295135709449
2008-07-18,-0.2403204926119995,0.1672652831286043
2008-07-25,0.17798850425568125,0.2368088143393825
2008-08-01,0.34130370189355946,0.2964887227633278
2008-08-08,0.31822045627604517,0.237061705802191
2008-08-15,0.17152975075109048,0.0860940519866908
2008-08-22,-0.024495222349383602,0.0007067865857708
2008-08-29,-0.04398711481836734,0.1828207716941197
2008-09-05,0.2787182153062405,0.2679266093241647
2008-09-12,0.33779960357593836,0.2064133337941563
2008-09-19,0.1531569121623743,0.6947164125138854
2008-09-26,0.8503499063743154,0.9688028284254616
2008-10-03,1.0613015788591795,1.6476018222809987
2008-10-10,1.62271402209489,2.127564223174688
2008-10-17,1.8558542718666555,2.566509675086177
2008-10-24,2.138873261525809,2.567431886602942
2008-10-31,1.8401576035581388,2.5484183135602354
2008-11-07,1.9207543690413404,3.084709952543764
2008-11-14,2.5303559780444287,2.934324096044312
2008-11-21,2.037539937625796,2.9225782221076515
2008-11-28,2.323087314669757,3.251657310115984
2008-12-05,2.583289472863675,3.492936964834364
2008-12-12,2.7826273573779154,3.5490189701017365
2008-12-19,2.767501272397876,3.695740373847805
2008-12-26,2.8378284522305233,3.671443231409247
2009-01-02,2.8196449509263313,3.6205512144867487
2009-01-09,2.8501671659303245,3.6157839321016927
2009-01-16,2.79088299135619,3.128943317045978
2009-01-23,2.4216331526911454,3.1178364172512287
2009-01-30,2.3923505778079153,2.8761817423107834
2009-02-06,2.039415535185944,1.8366655363816216
2009-02-13,1.1529199460652584,1.3537073206749712
2009-02-20,0.6175472977577517,1.7756726346481118
2009-02-27,1.4162027206284051,1.5362204560271062
2009-03-06,1.2191818365921574,1.9692859343397748
2009-03-13,1.7933806591039316,2.195742113932849
2009-03-20,1.9167846233831076,2.0669324718979905
2009-03-27,1.5275928532711296,1.9893269771504225
2009-04-03,1.4196261533313963,1.878033292894961
2009-04-10,1.4673387318868005,1.8333079563148011
2009-04-17,1.4575925670539889,1.6102065142331414
2009-05-01,1.1600567248783349,1.537171771614141
2009-05-08,1.1426390856560678,1.4190174387285304
2009-05-15,1.1178041208796652,1.1366215335415455
2009-05-22,0.8136073985391176,0.5245473312646742
2009-05-29,0.27911848892447055,0.1749674225559698
2009-06-05,0.1442552142822976,0.2050946219055288
2009-06-12,0.33111723257771486,0.2010942615569861
2009-06-19,0.29560062383058067,0.0336994827607098
2009-06-26,-0.027477007940029705,0.1012502175973365
2009-07-03,0.08373728437536483,-0.0289978139138399
2009-07-10,-0.08316108166307203,0.1240616783288874
2009-07-17,0.11688707472013744,0.2068510719192925
2009-07-24,0.19602889109179278,0.2642895364343806
2009-07-31,0.23462795084597407,0.3740534883549439
2009-08-07,0.3403514154668198,0.3811147647214198
2009-08-14,0.3321492733141751,0.1970200957383434
2009-08-21,0.07073833117102779,0.1636462075400928
2009-08-28,0.11910287314694303,-0.0479389953032821
2009-09-04,-0.10112556303874681,-0.1601556936220427
2009-09-11,-0.19562441930246596,-0.0045483722588918
2009-09-18,0.045272018881137285,0.2168900301320195
2009-09-25,0.3134938233667869,0.4605496446742106
2009-10-02,0.5133525979287739,0.5950622251951335
2009-10-09,0.5355006005295997,0.593346326005941
2009-10-16,0.4731775371843647,0.487410150056669
2009-10-23,0.3353928643606502,0.344890167981024
2009-10-30,0.22579325130451464,0.1127015847781199
2009-11-06,0.009395553037713889,0.1480604517625844
2009-11-13,0.13661643117364072,0.0735704526260818
2009-11-20,0.06533351743915312,0.0013581999161998
2009-11-27,-0.04661738109144921,-0.0671336169992294
2009-12-04,-0.13887929593809456,-0.2755449349691395
2009-12-11,-0.37899591072958794,-0.3037296368761666
2009-12-18,-0.3732887602363739,-0.4801226528595094
2009-12-25,-0.499312971655139,-0.5329324649039697
2010-01-01,-0.529520877800591,-0.6161804888603342
2010-01-08,-0.5999462758338477,-0.6305062196773298
2010-01-15,-0.5701505698831804,-0.7874062927771501
2010-01-22,-0.7782441300721892,-0.7041514665173346
2010-01-29,-0.6686950093476677,-0.6945325455575528
2010-02-05,-0.6806394373136145,-0.3540291886087429
2010-02-12,-0.2855406395410539,0.0161861439828364
2010-02-19,0.18094562913409112,0.1382206444771776
2010-02-26,0.20173462002171655,0.0875340145570398
2010-03-05,-0.030290757946380448,-0.0233183763381782
2010-03-12,-0.1842253069406691,-0.5459550771780103
2010-03-19,-0.7190576634600551,-0.571165937693937
2010-03-26,-0.6256771474038487,-0.5828391999691062
2010-04-02,-0.5679696885095645,-0.6159395553660888
2010-04-09,-0.5811391402429796,-0.5712267340562304
2010-04-16,-0.5194862106816999,-0.7088483816579709
2010-04-23,-0.6705709336818689,-0.8060007021846264
2010-04-30,-0.8077959590464971,-0.8527254810007472
2010-05-07,-0.8126720098737762,-0.2703281788368361
2010-05-14,-0.13528955512830007,0.1143351867141584
2010-05-21,0.30206288167782835,0.2659054692321593
2010-05-28,0.3378747606008641,0.405904762588677
2010-06-04,0.2898045303944964,0.3355269150610435
2010-06-11,0.08694605414900548,0.1510804169117365
2010-06-18,-0.03405098699037254,0.0922880803994155
2010-06-25,0.02667720798174332,-0.0103715288197857
2010-07-02,-0.04730060054032846,-0.1574890061015866
2010-07-09,-0.22418226679738798,-0.2484524080509503
2010-07-16,-0.30953390279616677,-0.3170640058165817
2010-07-23,-0.33045999869791165,-0.2932095837957238
2010-07-30,-0.32123897316183203,-0.3072704329865896
2010-08-06,-0.3191834674139218,-0.3615827091823032
2010-08-13,-0.37989193340699234,-0.3806619003495706
2010-08-20,-0.3989829492791651,-0.335966176711912
2010-08-27,-0.3386761922899104,-0.3291786029917333
2010-09-03,-0.3188698519839176,-0.3725781813301398
2010-09-10,-0.36192943119394305,-0.455522666600953
2010-09-17,-0.45451249947703076,-0.6480604443132306
2010-09-24,-0.6638647313810743,-0.7758613215651641
2010-10-01,-0.760249680118447,-0.9641123070394289
2010-10-08,-0.90876446834766,-0.8932405039533612
2010-10-15,-0.8146707944278028,-0.8377552985749507
2010-10-22,-0.7475485164161787,-0.4022927118149247
2010-10-29,-0.23819095056127196,-0.3354897391256716
2010-11-05,-0.23283103548977516,-0.4099987964548392
2010-11-12,-0.4241177423765494,-0.4249575753828766
2010-11-19,-0.46211483707979417,-0.6839956171141347
2010-11-26,-0.7590605279443586,-0.6958182569562391
2010-12-03,-0.717474560587695,-0.4596256937783914
2010-12-10,-0.4077089710671281,-0.406565059958321
2010-12-17,-0.34962021868774473,-0.5821853209461453
