,Predictions,Ground Truths
2005-05-27,-0.1939074804752827,-0.3634757237525401
2005-06-03,-0.3482373992491693,-0.2477580556736137
2005-06-10,-0.21389097970710155,-0.0367793062594743
2005-06-17,0.062294328520794306,0.1127306115091572
2005-06-24,0.1966882771692333,0.2064208803251548
2005-07-01,0.19906014789716578,0.2068554527022529
2005-07-08,0.11367212614523808,0.1181805480932088
2005-07-15,0.0008441455398288389,-0.1323768045125583
2005-07-22,-0.24544452521090185,-0.262172847439072
2005-07-29,-0.3133877819185873,-0.413861156865579
2005-08-05,-0.4103460078687715,-0.5994889488897184
2005-08-12,-0.5910973691606962,-0.5109910680021854
2005-08-19,-0.4609380869390468,-0.2934654744941178
2005-08-26,-0.16270116256990522,-0.2004278030973339
2005-09-02,-0.10112171293975888,0.0094081969193404
2005-09-09,0.06164439806390534,-0.0140769731054143
2005-09-16,-0.061637418942094846,-0.1509224789948783
2005-09-23,-0.26958916442294023,0.1309950527766968
2005-09-30,0.15411788354519104,0.0955050478459569
2005-10-07,0.14567414538451387,0.0586918080282187
2005-10-14,0.015052291157127362,0.0896942832655537
2005-10-21,0.025044065414476152,-0.3437018098330519
2005-10-28,-0.47058861439461863,-0.3940547557695072
2005-11-04,-0.4524730122739924,-0.3640420076214473
2005-11-11,-0.26292870655654454,-0.301149764556679
2005-11-18,-0.17198944079174697,-0.2579305601001038
2005-11-25,-0.17602639441317525,-0.2946342049215643
2005-12-02,-0.28228991363646466,-0.4209620628485513
2005-12-09,-0.432961274453119,-0.5298830867479521
2005-12-16,-0.5101362027791372,-0.363023769761226
2005-12-23,-0.26812678160066844,-0.2476263903475735
2005-12-30,-0.12155704094039882,-0.2379941042610544
2006-01-06,-0.18950088473468635,-0.0789266715922267
2006-01-13,-0.07192648622493558,-0.263832177183882
2006-01-20,-0.3047194305985724,-0.4546985618555886
2006-01-27,-0.49788503009592927,-0.4270909471841428
2006-02-03,-0.39265566674381874,-0.5527444655138306
2006-02-10,-0.4636949362056182,-0.4722868290014073
2006-02-17,-0.384161862701158,-0.5073720053557303
2006-02-24,-0.4341808044692694,-0.4144675755366244
2006-03-03,-0.35095628084554503,-0.2862886759977517
2006-03-10,-0.21255736848882917,-0.2420195628390757
2006-03-17,-0.19555049974273592,-0.1506241338437106
2006-03-24,-0.1342918311540004,-0.1496602693474938
2006-03-31,-0.15839914851024228,-0.2878340645777342
2006-04-07,-0.32362179897852167,-0.4636973297556054
2006-04-14,-0.4850071256514475,-0.5988359057334792
2006-04-21,-0.5671597599215041,-0.7339670005222765
2006-04-28,-0.6560904426929339,-0.8062703096019491
2006-05-05,-0.668003052013787,-0.5829242216976909
2006-05-12,-0.44887569793202375,-0.3089189764823363
2006-05-19,-0.1546067843084236,-0.207273784488406
2006-05-26,-0.07860465248203151,-0.1436343244528284
2006-06-02,-0.11030648728910004,-0.2352847737605536
2006-06-09,-0.2582501671177254,-0.4394858068011488
2006-06-16,-0.43303635056027134,-0.4054086507767409
2006-06-23,-0.36472183516110546,-0.4825497291622769
2006-06-30,-0.39749486756207364,-0.5948703970084597
2006-07-07,-0.5123932501983153,-0.6575020408960683
2006-07-14,-0.569183649947189,-0.8415125528698939
2006-07-21,-0.7289271714166307,-0.7442355546241718
2006-07-28,-0.6296860408252413,-0.7082601039091923
2006-08-04,-0.5681353127090156,-0.6004903530922072
2006-08-11,-0.48635303372500804,-0.5383081363695641
2006-08-18,-0.4549597276550266,-0.5832146312737938
2006-08-25,-0.5260101591740881,-0.5697603782775987
2006-09-01,-0.5210698678870278,-0.6145893768007038
2006-09-08,-0.5513275381192398,-0.6590723730578772
2006-09-15,-0.5882771316467097,-0.6429040509213606
2006-09-22,-0.5635785861323506,-0.4812464411928737
2006-09-29,-0.3944014767032001,-0.3968485452612355
2006-10-06,-0.31046485662626605,-0.1728487854889182
2006-10-13,-0.08304428459048491,-0.1919261064340085
2006-10-20,-0.14609578486974317,-0.2893871628206603
2006-10-27,-0.2994831335697323,-0.2501552600681468
2006-11-03,-0.242180744792855,-0.2516327142391905
2006-11-10,-0.2018720776756558,-0.1575566199464556
2006-11-17,-0.07801047509313556,-0.0978280966267185
2006-11-24,-0.020751071450463184,-0.2314723160887091
2006-12-01,-0.21648381391420768,-0.434087829312742
2006-12-08,-0.4468037826237836,-0.5491286071028845
2006-12-15,-0.5216486286745236,-0.7595555668175853
2006-12-22,-0.6629870572674512,-0.7088661250930651
2006-12-29,-0.5908964470417478,-0.7744685027708991
2007-01-05,-0.6355400116338477,-0.5248643902727139
2007-01-12,-0.40887371525491634,-0.1444427977965972
2007-01-19,0.01541978107745786,0.0123226489297585
2007-01-26,0.15850096914296555,0.260397631928684
2007-02-02,0.35323683576042464,0.4430051513312624
