,Predictions,Ground Truths
2005-05-27,-0.26424068055683386,-0.3634757237525401
2005-06-03,-0.3479856705834777,-0.2477580556736137
2005-06-10,-0.202177391679777,-0.0367793062594743
2005-06-17,0.08553770362858118,0.1127306115091572
2005-06-24,0.25224823795430684,0.2064208803251548
2005-07-01,0.20553444584424302,0.2068554527022529
2005-07-08,0.004750836349699916,0.1181805480932088
2005-07-15,-0.11865362943996023,-0.1323768045125583
2005-07-22,-0.33243819725738516,-0.262172847439072
2005-07-29,-0.3773671616433154,-0.413861156865579
2005-08-05,-0.46326529807536376,-0.5994889488897184
2005-08-12,-0.615009674798039,-0.5109910680021854
2005-08-19,-0.520051368150991,-0.2934654744941178
2005-08-26,-0.25293609141521267,-0.2004278030973339
2005-09-02,-0.13139617383981916,0.0094081969193404
2005-09-09,0.1136131345936895,-0.0140769731054143
2005-09-16,0.03316611024436108,-0.1509224789948783
2005-09-23,-0.1956091685559444,0.1309950527766968
2005-09-30,0.14361712201975924,0.0955050478459569
2005-10-07,0.08946964382378467,0.0586918080282187
2005-10-14,-0.03187088020211794,0.0896942832655537
2005-10-21,-0.027617223528051016,-0.3437018098330519
2005-10-28,-0.46635729693204653,-0.3940547557695072
2005-11-04,-0.44212565466468534,-0.3640420076214473
2005-11-11,-0.32542167523130444,-0.301149764556679
2005-11-18,-0.22250456422536258,-0.2579305601001038
2005-11-25,-0.18664452307262225,-0.2946342049215643
2005-12-02,-0.26765894039620164,-0.4209620628485513
2005-12-09,-0.44090761501714437,-0.5298830867479521
2005-12-16,-0.5617130198645095,-0.363023769761226
2005-12-23,-0.3547336107788063,-0.2476263903475735
2005-12-30,-0.1861584606749347,-0.2379941042610544
2006-01-06,-0.19361533870158948,-0.0789266715922267
2006-01-13,-0.01822322608260707,-0.263832177183882
2006-01-20,-0.2709030746185135,-0.4546985618555886
2006-01-27,-0.5099427862775471,-0.4270909471841428
2006-02-03,-0.45148247148229204,-0.5527444655138306
2006-02-10,-0.5507072318622933,-0.4722868290014073
2006-02-17,-0.4627882203994077,-0.5073720053557303
2006-02-24,-0.5011834100306666,-0.4144675755366244
2006-03-03,-0.41506783281174153,-0.2862886759977517
2006-03-10,-0.2676867957412564,-0.2420195628390757
2006-03-17,-0.22358147367424025,-0.1506241338437106
2006-03-24,-0.12417762283736224,-0.1496602693474938
2006-03-31,-0.129010641097559,-0.2878340645777342
2006-04-07,-0.3014802184165261,-0.4636973297556054
2006-04-14,-0.4759807224471476,-0.5988359057334792
2006-04-21,-0.5965002298365808,-0.7339670005222765
2006-04-28,-0.6264213130651457,-0.8062703096019491
2006-05-05,-0.7723184943196894,-0.5829242216976909
2006-05-12,-0.5668488077368158,-0.3089189764823363
2006-05-19,-0.22840246052545476,-0.207273784488406
2006-05-26,-0.11694717090044367,-0.1436343244528284
2006-06-02,-0.09653102328009643,-0.2352847737605536
2006-06-09,-0.2572912353013457,-0.4394858068011488
2006-06-16,-0.4997931261229156,-0.4054086507767409
2006-06-23,-0.37055340650363566,-0.4825497291622769
2006-06-30,-0.35240143007052377,-0.5948703970084597
2006-07-07,-0.5225630764643356,-0.6575020408960683
2006-07-14,-0.6646571030810685,-0.8415125528698939
2006-07-21,-0.8666316519538325,-0.7442355546241718
2006-07-28,-0.7994188656109878,-0.7082601039091923
2006-08-04,-0.740019000386907,-0.6004903530922072
2006-08-11,-0.6237375169778682,-0.5383081363695641
2006-08-18,-0.5545330614605946,-0.5832146312737938
2006-08-25,-0.6105292496067195,-0.5697603782775987
2006-09-01,-0.6067522595600074,-0.6145893768007038
2006-09-08,-0.6462793437135551,-0.6590723730578772
2006-09-15,-0.6841659343654222,-0.6429040509213606
2006-09-22,-0.6626650866006885,-0.4812464411928737
2006-09-29,-0.47932794761661734,-0.3968485452612355
2006-10-06,-0.36911611449224035,-0.1728487854889182
2006-10-13,-0.12527367618222723,-0.1919261064340085
2006-10-20,-0.19232379476651407,-0.2893871628206603
2006-10-27,-0.35708473880753133,-0.2501552600681468
2006-11-03,-0.3059515596424147,-0.2516327142391905
2006-11-10,-0.2635648556320499,-0.1575566199464556
2006-11-17,-0.11707280285514339,-0.0978280966267185
2006-11-24,-0.02637229651035075,-0.2314723160887091
2006-12-01,-0.21546134132734052,-0.434087829312742
2006-12-08,-0.468682283166848,-0.5491286071028845
2006-12-15,-0.5774296181963892,-0.7595555668175853
2006-12-22,-0.7430753946451646,-0.7088661250930651
2006-12-29,-0.6666996858195557,-0.7744685027708991
2007-01-05,-0.7285670787891114,-0.5248643902727139
2007-01-12,-0.5292535560530399,-0.1444427977965972
2007-01-19,-0.0972868723409984,0.0123226489297585
2007-01-26,0.2226656483907415,0.260397631928684
2007-02-02,0.5642961625957894,0.4430051513312624
2007-02-09,0.43932516102734254,0.3150155335210522
2007-02-16,0.06688117807904946,0.3535909490179427
2007-02-23,0.24064970026968768,0.1476762382170573
2007-03-02,0.04914157281844521,-0.284135320670712
2007-03-09,-0.27489249572274366,-0.4093041181044775
2007-03-16,-0.3481830281457371,-0.7399615113607219
2007-03-23,-0.6336010309997068,-0.8587011621417661
2007-03-30,-0.7717437155205152,-0.6845796808645962
2007-04-06,-0.620565171204419,-0.6773138429073046
2007-04-13,-0.6265634704009572,-0.6326639436693149
2007-04-20,-0.6271971875941728,-0.5148546734452587
2007-04-27,-0.3974184975539934,-0.541782815155718
2007-05-04,-0.5159898423710235,-0.6284436438471332
2007-05-11,-0.662282435270369,-0.6734053233896548
2007-05-18,-0.7033433795867998,-0.6874549817602384
2007-05-25,-0.689112983719078,-0.669362142166754
2007-06-01,-0.6641589389149672,-0.6556909909777447
2007-06-08,-0.6304766376113694,-0.6079851999081076
2007-06-15,-0.6050748999504465,-0.5081180796779283
2007-06-22,-0.5445220485671326,-0.6098441162707512
2007-06-29,-0.6802470630523623,-0.6445714839605835
2007-07-06,-0.595431606982283,-0.6885071392937903
2007-07-13,-0.6994894990227972,-0.8722043663289794
2007-07-20,-0.8931703696657532,-0.8094684049168869
2007-08-03,-0.7871903942062743,-0.6516333955299973
2007-08-10,-0.609146236442772,-0.3169281955085537
2007-08-17,-0.2618133446421231,-0.3275890078037237
2007-08-24,-0.3142659810670593,-0.3268328301358932
2007-08-31,-0.37820327985619145,-0.4371545437015769
