,Predictions,Ground Truths
2005-05-27,-0.21511740554401276,-0.3634757237525401
2005-06-03,-0.31348205221050957,-0.2477580556736137
2005-06-10,-0.16963002817675404,-0.0367793062594743
2005-06-17,0.08491449398129275,0.1127306115091572
2005-06-24,0.20926229222197054,0.2064208803251548
2005-07-01,0.2157747930035612,0.2068554527022529
2005-07-08,0.14326822122452978,0.1181805480932088
2005-07-15,0.051973683948321,-0.1323768045125583
2005-07-22,-0.2059541723718407,-0.262172847439072
2005-07-29,-0.27019078902988397,-0.413861156865579
2005-08-05,-0.3685138961819236,-0.5994889488897184
2005-08-12,-0.5269237124090262,-0.5109910680021854
2005-08-19,-0.411487233801046,-0.2934654744941178
2005-08-26,-0.15206280640361772,-0.2004278030973339
2005-09-02,-0.07360400636795271,0.0094081969193404
2005-09-09,0.10833776029685532,-0.0140769731054143
2005-09-16,-0.0025041461840794345,-0.1509224789948783
2005-09-23,-0.20613476318621837,0.1309950527766968
2005-09-30,0.17219376982379284,0.0955050478459569
2005-10-07,0.14109785267528965,0.0586918080282187
2005-10-14,0.043829337799558804,0.0896942832655537
2005-10-21,0.07669120557482614,-0.3437018098330519
2005-10-28,-0.40555943136203837,-0.3940547557695072
2005-11-04,-0.39249183381195074,-0.3640420076214473
2005-11-11,-0.2819575970017108,-0.301149764556679
2005-11-18,-0.19544101387132112,-0.2579305601001038
2005-11-25,-0.16889987942572415,-0.2946342049215643
2005-12-02,-0.24196829663888544,-0.4209620628485513
2005-12-09,-0.38882007310517147,-0.5298830867479521
2005-12-16,-0.48159641198334263,-0.363023769761226
2005-12-23,-0.27507256186916207,-0.2476263903475735
2005-12-30,-0.13493251092617997,-0.2379941042610544
2006-01-06,-0.16567983398617567,-0.0789266715922267
2006-01-13,-0.02529527264035426,-0.263832177183882
2006-01-20,-0.2649980925040991,-0.4546985618555886
2006-01-27,-0.462184929418163,-0.4270909471841428
2006-02-03,-0.3807921664088112,-0.5527444655138306
2006-02-10,-0.4684284969759119,-0.4722868290014073
2006-02-17,-0.3745806498388886,-0.5073720053557303
2006-02-24,-0.4034314773861773,-0.4144675755366244
2006-03-03,-0.3150669598320716,-0.2862886759977517
2006-03-10,-0.1848882751626111,-0.2420195628390757
2006-03-17,-0.16533338499268416,-0.1506241338437106
2006-03-24,-0.09807077506500149,-0.1496602693474938
2006-03-31,-0.1254997237503932,-0.2878340645777342
2006-04-07,-0.2597161664662792,-0.4636973297556054
2006-04-14,-0.45356120494943275,-0.5988359057334792
2006-04-21,-0.5447717620237937,-0.7339670005222765
2006-04-28,-0.6709103777364399,-0.8062703096019491
2006-05-05,-0.6718151234646021,-0.5829242216976909
2006-05-12,-0.4360541831570227,-0.3089189764823363
2006-05-19,-0.13650610810112065,-0.207273784488406
2006-05-26,-0.05973384978290195,-0.1436343244528284
2006-06-02,-0.07274220203897618,-0.2352847737605536
2006-06-09,-0.231762387168165,-0.4394858068011488
2006-06-16,-0.4017983680105851,-0.4054086507767409
2006-06-23,-0.3310769319130219,-0.4825497291622769
2006-06-30,-0.3713012997832886,-0.5948703970084597
2006-07-07,-0.5154838893615744,-0.6575020408960683
2006-07-14,-0.5979340062575373,-0.8415125528698939
2006-07-21,-0.7221912646423666,-0.7442355546241718
2006-07-28,-0.6313895617520724,-0.7082601039091923
2006-08-04,-0.5771762781266753,-0.6004903530922072
2006-08-11,-0.48267420626745594,-0.5383081363695641
2006-08-18,-0.43095149485432116,-0.5832146312737938
2006-08-25,-0.4958968507079369,-0.5697603782775987
2006-09-01,-0.4930966850094446,-0.6145893768007038
2006-09-08,-0.5414644441732857,-0.6590723730578772
2006-09-15,-0.5863286810843225,-0.6429040509213606
2006-09-22,-0.5621641938944458,-0.4812464411928737
2006-09-29,-0.38211703328104835,-0.3968485452612355
2006-10-06,-0.3138517274666655,-0.1728487854889182
2006-10-13,-0.07798711594451939,-0.1919261064340085
2006-10-20,-0.13489314145791992,-0.2893871628206603
2006-10-27,-0.28454834978845944,-0.2501552600681468
2006-11-03,-0.2336122151713952,-0.2516327142391905
2006-11-10,-0.2111631769899034,-0.1575566199464556
2006-11-17,-0.09473200707903834,-0.0978280966267185
2006-11-24,-0.033678333710403116,-0.2314723160887091
2006-12-01,-0.21574593083625493,-0.434087829312742
2006-12-08,-0.43622475110873055,-0.5491286071028845
2006-12-15,-0.5176239427658437,-0.7595555668175853
2006-12-22,-0.6579980501821063,-0.7088661250930651
2006-12-29,-0.6253278206296555,-0.7744685027708991
2007-01-05,-0.6658145177739427,-0.5248643902727139
2007-01-12,-0.42002443227754427,-0.1444427977965972
2007-01-19,0.020590918053885035,0.0123226489297585
2007-01-26,0.1988474682080798,0.260397631928684
2007-02-02,0.42187540713891103,0.4430051513312624
2007-02-09,0.48832993330827573,0.3150155335210522
2007-02-16,0.21529596175657317,0.3535909490179427
2007-02-23,0.29017819475069934,0.1476762382170573
2007-03-02,0.08874086554477577,-0.284135320670712
2007-03-09,-0.3700102351049616,-0.4093041181044775
2007-03-16,-0.4194797184791969,-0.7399615113607219
2007-03-23,-0.6741631632836925,-0.8587011621417661
2007-03-30,-0.7501408622575721,-0.6845796808645962
2007-04-06,-0.5545197721055866,-0.6773138429073046
2007-04-13,-0.5366558405180326,-0.6326639436693149
2007-04-20,-0.522964877657628,-0.5148546734452587
2007-04-27,-0.4179282797971755,-0.541782815155718
2007-05-04,-0.44054195131542795,-0.6284436438471332
2007-05-11,-0.5398604863178881,-0.6734053233896548
2007-05-18,-0.5797399949965465,-0.6874549817602384
2007-05-25,-0.5806471234393897,-0.669362142166754
2007-06-01,-0.5481462260443348,-0.6556909909777447
2007-06-08,-0.5612190665110012,-0.6079851999081076
2007-06-15,-0.5243250055336567,-0.5081180796779283
2007-06-22,-0.43465000274725196,-0.6098441162707512
2007-06-29,-0.5332312913044797,-0.6445714839605835
2007-07-06,-0.5706123722540617,-0.6885071392937903
2007-07-13,-0.5790952859425482,-0.8722043663289794
2007-07-20,-0.7021908720318685,-0.8094684049168869
2007-08-03,-0.6820046610641961,-0.6516333955299973
2007-08-10,-0.5445343881836683,-0.3169281955085537
2007-08-17,-0.2364806392005665,-0.3275890078037237
2007-08-24,-0.28457579177025455,-0.3268328301358932
2007-08-31,-0.32924924698165287,-0.4371545437015769
2007-09-07,-0.44208774566118375,-0.8185385974309761
2007-09-14,-0.749651304783038,-0.8267630282666302
2007-09-21,-0.7094930805806294,-0.9377618995761424
2007-09-28,-0.784591664898018,-0.9173461943626348
2007-10-05,-0.7604974670137004,-0.7863721134413136
2007-10-12,-0.6492323921285631,-0.6034839062787434
2007-10-19,-0.48910569915261226,-0.4845003976762299
2007-10-26,-0.3918206347470833,-0.4420971065118539
2007-11-02,-0.37539558381844407,-0.2046969719716707
2007-11-09,-0.16087238309561158,-0.1010622090979418
2007-11-16,-0.07620582232836712,-0.0322514096870992
2007-11-23,-0.050775631460306135,0.0746210084400731
2007-11-30,0.030738268583325914,-0.036374140203088
2007-12-07,-0.10844878549355412,-0.1858762707644211
2007-12-14,-0.2534142660446746,-0.1152623642008684
2007-12-21,-0.1332205141597379,-0.1914197430020151
2007-12-28,-0.18231332289953245,-0.3361032021344499
2008-01-04,-0.33221103651833983,-0.3299153522371578
2008-01-11,-0.31768279900586693,-0.3053676962886918
2008-01-18,-0.30916293440110204,-0.4343368798328521
2008-01-25,-0.47453834164345976,-0.3587664880165969
2008-02-01,-0.389349867624203,-0.3565945998543748
2008-02-08,-0.36593796735879003,-0.4030596297211549
2008-02-15,-0.42129512380365086,-0.368103330999591
2008-02-22,-0.3803123533147437,-0.2103357988193196
2008-02-29,-0.1857857407474921,-0.249668784602352
2008-03-07,-0.2462563598541142,-0.1233547324885953
2008-03-14,-0.0896195461570235,-0.1962120540304031
2008-03-21,-0.18813817055337814,0.0762330723727566
2008-03-28,0.13743408254407757,0.1769510386209148
2008-04-04,0.23133938120586806,0.2339063173936067
2008-04-11,0.2122431242446532,0.2249920434610628
2008-04-18,0.14269457820887532,-0.1088228521920413
2008-04-25,-0.2604912010554459,-0.4041690579002032
2008-05-02,-0.5081740166128434,-0.5546153088916294
2008-05-09,-0.5739000529565159,-0.3972824612446277
2008-05-16,-0.34520254926834604,-0.3008019071841364
2008-05-23,-0.18736755437061786,-0.1511186526078632
2008-05-30,-0.034285132415060565,-0.0328712888928598
2008-06-06,0.031900281714770495,0.0170221863088134
2008-06-13,0.009491214897845976,0.6404781293984877
2008-06-20,0.7188137768943408,0.6195662695815425
2008-06-27,0.5851305976738328,0.5856777092039419
2008-07-04,0.3660496011844159,0.5263323847744718
2008-07-11,0.31426324436594544,-0.0365295135709449
2008-07-18,-0.2617443826938314,0.1672652831286043
2008-07-25,0.17553569469546496,0.2368088143393825
2008-08-01,0.3737805923515213,0.2964887227633278
2008-08-08,0.34762863034037816,0.237061705802191
2008-08-15,0.13153772610475786,0.0860940519866908
2008-08-22,-0.07145763617512185,0.0007067865857708
2008-08-29,-0.04541571814559753,0.1828207716941197
2008-09-05,0.29921017434479813,0.2679266093241647
2008-09-12,0.4275119046151896,0.2064133337941563
2008-09-19,0.19565566101497028,0.6947164125138854
2008-09-26,0.798327490085607,0.9688028284254616
2008-10-03,1.0701897463217804,1.6476018222809987
2008-10-10,1.7698746669464096,2.127564223174688
2008-10-17,2.077791073331548,2.566509675086177
2008-10-24,2.216892714646072,2.567431886602942
2008-10-31,2.050772735841504,2.5484183135602354
2008-11-07,1.82305740245779,3.084709952543764
2008-11-14,2.5923487829738647,2.934324096044312
2008-11-21,2.436997578669523,2.9225782221076515
2008-11-28,2.3706804143864155,3.251657310115984
2008-12-05,2.6916160451232645,3.492936964834364
2008-12-12,2.8697567980044694,3.5490189701017365
2008-12-19,2.849779557485493,3.695740373847805
2008-12-26,2.9327902940645476,3.671443231409247
2009-01-02,2.8924722787584676,3.6205512144867487
2009-01-09,2.8366336576270883,3.6157839321016927
2009-01-16,2.9844907605599897,3.128943317045978
2009-01-23,2.449803822384575,3.1178364172512287
2009-01-30,2.4684333398409932,2.8761817423107834
2009-02-06,2.296455979598801,1.8366655363816216
2009-02-13,1.1121039808483095,1.3537073206749712
2009-02-20,0.8163895805121625,1.7756726346481118
2009-02-27,1.8198307571156833,1.5362204560271062
2009-03-06,1.5182329824862029,1.9692859343397748
2009-03-13,1.8866640143026736,2.195742113932849
2009-03-20,2.039556944270805,2.0669324718979905
2009-03-27,1.7182795151676309,1.9893269771504225
2009-04-03,1.6141905838118469,1.878033292894961
2009-04-10,1.575118370843439,1.8333079563148011
2009-04-17,1.6199711208231973,1.6102065142331414
2009-05-01,1.3663629033244615,1.537171771614141
2009-05-08,1.314838803989286,1.4190174387285304
2009-05-15,1.231905363537679,1.1366215335415455
2009-05-22,0.9000608588534815,0.5245473312646742
2009-05-29,0.20635945892317709,0.1749674225559698
2009-06-05,0.0392113366799539,0.2050946219055288
2009-06-12,0.30679243524907457,0.2010942615569861
2009-06-19,0.3296590976243996,0.0336994827607098
2009-06-26,-0.011967968875379806,0.1012502175973365
2009-07-03,0.04429821253340067,-0.0289978139138399
2009-07-10,-0.0988415837419529,0.1240616783288874
2009-07-17,0.13840156341903118,0.2068510719192925
2009-07-24,0.2080865406870407,0.2642895364343806
2009-07-31,0.2264363125499473,0.3740534883549439
2009-08-07,0.3229574713126339,0.3811147647214198
2009-08-14,0.3005525452531067,0.1970200957383434
2009-08-21,0.050196824264238465,0.1636462075400928
2009-08-28,0.07832986057692708,-0.0479389953032821
2009-09-04,-0.12164325562251703,-0.1601556936220427
2009-09-11,-0.2104298235749414,-0.0045483722588918
2009-09-18,0.04151502856477125,0.2168900301320195
2009-09-25,0.3273762314089532,0.4605496446742106
2009-10-02,0.5353560555740209,0.5950622251951335
2009-10-09,0.5438420406987848,0.593346326005941
2009-10-16,0.4409935850897555,0.487410150056669
2009-10-23,0.32185645371208144,0.344890167981024
2009-10-30,0.2314076565790525,0.1127015847781199
2009-11-06,0.02166490417219312,0.1480604517625844
2009-11-13,0.149934344390331,0.0735704526260818
2009-11-20,0.0754709693588153,0.0013581999161998
2009-11-27,-0.03851673160900122,-0.0671336169992294
2009-12-04,-0.11901072578630123,-0.2755449349691395
2009-12-11,-0.3453354105212385,-0.3037296368761666
2009-12-18,-0.3241790758464363,-0.4801226528595094
2009-12-25,-0.4663754940312305,-0.5329324649039697
2010-01-01,-0.5104864854157904,-0.6161804888603342
2010-01-08,-0.5858102848858501,-0.6305062196773298
2010-01-15,-0.5735883244595997,-0.7874062927771501
2010-01-22,-0.7729256097699334,-0.7041514665173346
2010-01-29,-0.6920361000272693,-0.6945325455575528
2010-02-05,-0.6724134662141721,-0.3540291886087429
2010-02-12,-0.28820526470350566,0.0161861439828364
2010-02-19,0.1688103253730044,0.1382206444771776
2010-02-26,0.19718524686967287,0.0875340145570398
2010-03-05,-0.03431700817721193,-0.0233183763381782
2010-03-12,-0.19311465246411824,-0.5459550771780103
2010-03-19,-0.7038258569458161,-0.571165937693937
2010-03-26,-0.6243134754536789,-0.5828391999691062
2010-04-02,-0.5524317373511894,-0.6159395553660888
2010-04-09,-0.5699324249326917,-0.5712267340562304
2010-04-16,-0.5283797310669408,-0.7088483816579709
2010-04-23,-0.6849701924792887,-0.8060007021846264
2010-04-30,-0.7864069475122782,-0.8527254810007472
2010-05-07,-0.8217657852118206,-0.2703281788368361
2010-05-14,-0.1563358735897382,0.1143351867141584
2010-05-21,0.3420819350354132,0.2659054692321593
2010-05-28,0.3370063599346791,0.405904762588677
2010-06-04,0.28604627315197567,0.3355269150610435
2010-06-11,0.13366744580084783,0.1510804169117365
2010-06-18,-0.01472712677351573,0.0922880803994155
2010-06-25,0.03882508748389299,-0.0103715288197857
2010-07-02,-0.025625625412455375,-0.1574890061015866
2010-07-09,-0.19842342620312553,-0.2484524080509503
2010-07-16,-0.2840955099924349,-0.3170640058165817
2010-07-23,-0.333634310089169,-0.2932095837957238
2010-07-30,-0.28096964922978196,-0.3072704329865896
2010-08-06,-0.2938531873513569,-0.3615827091823032
2010-08-13,-0.36679736460729145,-0.3806619003495706
2010-08-20,-0.390188399482019,-0.335966176711912
2010-08-27,-0.3280383964702238,-0.3291786029917333
2010-09-03,-0.3198639678568159,-0.3725781813301398
2010-09-10,-0.37961222381978155,-0.455522666600953
2010-09-17,-0.4755250303285157,-0.6480604443132306
2010-09-24,-0.6709137796768941,-0.7758613215651641
2010-10-01,-0.7757368609724793,-0.9641123070394289
2010-10-08,-0.9289364208091772,-0.8932405039533612
2010-10-15,-0.8451860790572193,-0.8377552985749507
2010-10-22,-0.7743892218268406,-0.4022927118149247
2010-10-29,-0.2958885057892175,-0.3354897391256716
2010-11-05,-0.24546832572741095,-0.4099987964548392
2010-11-12,-0.41577957962815015,-0.4249575753828766
2010-11-19,-0.46061036401445155,-0.6839956171141347
2010-11-26,-0.7194787128745445,-0.6958182569562391
2010-12-03,-0.7030539904166094,-0.4596256937783914
2010-12-10,-0.4053563734348198,-0.406565059958321
2010-12-17,-0.3397373106266291,-0.5821853209461453
2010-12-24,-0.5792351134240932,-0.725579624671403
2010-12-31,-0.7506583114668189,-1.055939377483095
2011-01-07,-1.0029686454681734,-1.160717939642846
2011-01-14,-1.0256383689740092,-0.8801651350344115
2011-01-21,-0.8088167068801064,-0.8634051836605906
2011-01-28,-0.7800574553348026,-0.7067109456636848
2011-02-04,-0.6495128244152982,-0.6172993903660668
2011-02-11,-0.5715726954712068,-0.7251931170946484
2011-02-18,-0.7032441551604086,-0.6767369757841426
2011-02-25,-0.6628249476857001,-0.3391086248433496
2011-03-04,-0.2752846424601557,-0.27073922013067
2011-03-11,-0.21036572665356262,-0.2132608973604204
2011-03-18,-0.23260655288724302,0.0308020166344465
2011-03-25,0.027298288069902824,-0.1079973046784364
2011-04-01,-0.1821822323407749,-0.3255496158183184
2011-04-08,-0.4460102353762942,-0.3343325186945184
2011-04-15,-0.3984193344187542,-0.408467673470374
2011-04-22,-0.422494079450055,-0.6522217312315153
2011-04-29,-0.667839239214772,-0.6027146266026612
2011-05-06,-0.598428443100432,-0.2485011977779468
2011-05-13,-0.14735529170593478,0.6487597660586534
2011-05-20,1.0075271738929346,0.6873603674739049
2011-05-27,0.8532490218700641,0.7605454481261351
2011-06-03,0.5058004030497179,0.6016127359198784
2011-06-10,0.3147529178166864,-0.3766172712966751
2011-06-17,-0.6376724095884119,-0.5955103607732684
2011-06-24,-0.6494437826402575,-0.3704763256990961
2011-07-01,-0.2652137827477117,0.0455321343300428
2011-07-08,0.30822808015518727,0.1922733268518354
2011-07-15,0.36097392572508785,0.2224027276278265
2011-07-22,0.15697478932747894,0.1337292672423532
2011-07-29,-0.03662827440422944,-0.2685300429898449
2011-08-05,-0.43710893899056674,-0.5175137969393652
2011-08-12,-0.5980574222039081,-0.0055349961872519
2011-08-19,0.09804125315240834,0.1319939873627103
2011-08-26,0.24911011800448543,0.1835656757732628
2011-09-02,0.15287624737869185,0.2144653779780162
2011-09-09,0.09662427527857301,-0.2759694577181887
2011-09-16,-0.4590946398294939,-0.6300290220378456
2011-09-23,-0.7118119005397565,-0.4520449398804205
2011-09-30,-0.4150871799385514,-0.1077158831691044
2011-10-07,0.061697435578457104,0.0802993047484502
2011-10-14,0.2305883003127752,0.2972925851491013
2011-10-21,0.3190459595462489,0.4014237242479794
2011-10-28,0.2806318395484624,0.1686478452310673
2011-11-04,-0.04850869976314095,-0.0235711421967556
2011-11-11,-0.17678980884439136,-0.2884087210657086
2011-11-18,-0.3527555404044326,-0.5370383640630869
2011-11-25,-0.5283877959022562,-0.4844588323750489
2011-12-02,-0.4677963864790038,-0.5232451651903173
2011-12-09,-0.47911150423015586,-0.529568528926694
2011-12-16,-0.47881565587416164,-0.4561185373409111
2011-12-23,-0.4452590253703718,-0.3965957434998922
2011-12-30,-0.3824996244958794,-0.5032875510229415
