,Predictions,Ground Truths
2005-05-27,-0.23668389828354755,-0.3634757237525401
2005-06-03,-0.32864903183870775,-0.2477580556736137
2005-06-10,-0.21265890101709597,-0.0367793062594743
2005-06-17,0.023247130046058904,0.1127306115091572
2005-06-24,0.16062343703900572,0.2064208803251548
2005-07-01,0.18460639726969771,0.2068554527022529
2005-07-08,0.12394101295463551,0.1181805480932088
2005-07-15,0.07359492418342764,-0.1323768045125583
2005-07-22,-0.18880686583168352,-0.262172847439072
2005-07-29,-0.26394727028414655,-0.413861156865579
2005-08-05,-0.3808192399335836,-0.5994889488897184
2005-08-12,-0.5526584709918938,-0.5109910680021854
2005-08-19,-0.45258236011472164,-0.2934654744941178
2005-08-26,-0.19332526816354859,-0.2004278030973339
2005-09-02,-0.12057628411720972,0.0094081969193404
2005-09-09,0.039662947792990434,-0.0140769731054143
2005-09-16,-0.04557140538780369,-0.1509224789948783
2005-09-23,-0.20854689773454352,0.1309950527766968
2005-09-30,0.13912790331474365,0.0955050478459569
2005-10-07,0.12360623957882778,0.0586918080282187
2005-10-14,0.025402677046802442,0.0896942832655537
2005-10-21,0.05082510250034915,-0.3437018098330519
2005-10-28,-0.3709586228241927,-0.3940547557695072
2005-11-04,-0.3707924735686706,-0.3640420076214473
2005-11-11,-0.27080088856357437,-0.301149764556679
2005-11-18,-0.2083388477733471,-0.2579305601001038
2005-11-25,-0.19860564327304903,-0.2946342049215643
2005-12-02,-0.26672099035865826,-0.4209620628485513
2005-12-09,-0.40487947960657455,-0.5298830867479521
2005-12-16,-0.4908204828355881,-0.363023769761226
2005-12-23,-0.30128566065444073,-0.2476263903475735
2005-12-30,-0.16588323883652922,-0.2379941042610544
2006-01-06,-0.20171880126550035,-0.0789266715922267
2006-01-13,-0.06725563245903621,-0.263832177183882
2006-01-20,-0.2755802363657904,-0.4546985618555886
2006-01-27,-0.47997777404526976,-0.4270909471841428
2006-02-03,-0.40324541120438623,-0.5527444655138306
2006-02-10,-0.4810337533138366,-0.4722868290014073
2006-02-17,-0.39412724257168885,-0.5073720053557303
2006-02-24,-0.43597397406876937,-0.4144675755366244
2006-03-03,-0.35181953191314796,-0.2862886759977517
2006-03-10,-0.22279955888770606,-0.2420195628390757
2006-03-17,-0.18860135196715028,-0.1506241338437106
2006-03-24,-0.12255777276582384,-0.1496602693474938
2006-03-31,-0.1460734548125926,-0.2878340645777342
2006-04-07,-0.280420506183243,-0.4636973297556054
2006-04-14,-0.4821434316513723,-0.5988359057334792
2006-04-21,-0.5503695995113916,-0.7339670005222765
2006-04-28,-0.612615226586014,-0.8062703096019491
2006-05-05,-0.6827879858920299,-0.5829242216976909
2006-05-12,-0.46441715836001923,-0.3089189764823363
2006-05-19,-0.1983445669745206,-0.207273784488406
2006-05-26,-0.12138133971314471,-0.1436343244528284
2006-06-02,-0.13536412664726652,-0.2352847737605536
2006-06-09,-0.26472048126948633,-0.4394858068011488
2006-06-16,-0.4358684664966877,-0.4054086507767409
2006-06-23,-0.36967096350808604,-0.4825497291622769
2006-06-30,-0.3846666375162277,-0.5948703970084597
2006-07-07,-0.5351668860499885,-0.6575020408960683
2006-07-14,-0.5950704400003533,-0.8415125528698939
2006-07-21,-0.7687665546570619,-0.7442355546241718
2006-07-28,-0.6721427980594947,-0.7082601039091923
2006-08-04,-0.5904791355812856,-0.6004903530922072
2006-08-11,-0.48024704756357706,-0.5383081363695641
2006-08-18,-0.4837852451965086,-0.5832146312737938
2006-08-25,-0.5621083013729564,-0.5697603782775987
2006-09-01,-0.5462751727338787,-0.6145893768007038
2006-09-08,-0.5798990482752262,-0.6590723730578772
2006-09-15,-0.6173243050560279,-0.6429040509213606
2006-09-22,-0.5969167081122825,-0.4812464411928737
2006-09-29,-0.41118687408948995,-0.3968485452612355
2006-10-06,-0.3483718729607749,-0.1728487854889182
2006-10-13,-0.08384214922042516,-0.1919261064340085
2006-10-20,-0.16144995035163517,-0.2893871628206603
2006-10-27,-0.33013944523286487,-0.2501552600681468
2006-11-03,-0.28391559392210447,-0.2516327142391905
2006-11-10,-0.24705278144936718,-0.1575566199464556
