,Predictions,Ground Truths
2005-05-27,-0.22431851697122834,-0.3634757237525401
2005-06-03,-0.34179029202915984,-0.2477580556736137
2005-06-10,-0.21391560584545538,-0.0367793062594743
2005-06-17,0.04530937424604087,0.1127306115091572
2005-06-24,0.18019265298098952,0.2064208803251548
2005-07-01,0.19453668801850182,0.2068554527022529
2005-07-08,0.12347480615081981,0.1181805480932088
2005-07-15,0.11510753050173779,-0.1323768045125583
2005-07-22,-0.27129036436032694,-0.262172847439072
2005-07-29,-0.2974910574271465,-0.413861156865579
2005-08-05,-0.37707604863256505,-0.5994889488897184
2005-08-12,-0.5765667607604406,-0.5109910680021854
2005-08-19,-0.4734860628401208,-0.2934654744941178
2005-08-26,-0.1983099411165119,-0.2004278030973339
2005-09-02,-0.12538415617948523,0.0094081969193404
2005-09-09,0.04934016032372425,-0.0140769731054143
2005-09-16,-0.04474424872053785,-0.1509224789948783
2005-09-23,-0.23165210477725878,0.1309950527766968
2005-09-30,0.15374095743017824,0.0955050478459569
2005-10-07,0.1450579845924952,0.0586918080282187
2005-10-14,0.02463496113296774,0.0896942832655537
2005-10-21,0.03170736906751592,-0.3437018098330519
2005-10-28,-0.4295558397129881,-0.3940547557695072
2005-11-04,-0.422713027438274,-0.3640420076214473
2005-11-11,-0.29860833692942207,-0.301149764556679
2005-11-18,-0.21544627269305233,-0.2579305601001038
2005-11-25,-0.2194272649237468,-0.2946342049215643
2005-12-02,-0.308375236949376,-0.4209620628485513
2005-12-09,-0.4470059980886459,-0.5298830867479521
2005-12-16,-0.5277315048159412,-0.363023769761226
2005-12-23,-0.29420633661394774,-0.2476263903475735
2005-12-30,-0.15549080516242514,-0.2379941042610544
2006-01-06,-0.21592772583759462,-0.0789266715922267
2006-01-13,-0.07487257086855166,-0.263832177183882
2006-01-20,-0.3003100575838909,-0.4546985618555886
2006-01-27,-0.5004268177371325,-0.4270909471841428
2006-02-03,-0.40801306693611544,-0.5527444655138306
2006-02-10,-0.5085146746336727,-0.4722868290014073
2006-02-17,-0.42241606716338564,-0.5073720053557303
2006-02-24,-0.4702168469967591,-0.4144675755366244
2006-03-03,-0.3767889002845804,-0.2862886759977517
2006-03-10,-0.2303294689023056,-0.2420195628390757
2006-03-17,-0.2075451740215951,-0.1506241338437106
2006-03-24,-0.13681803258111447,-0.1496602693474938
2006-03-31,-0.15524462839620568,-0.2878340645777342
2006-04-07,-0.2466900294820215,-0.4636973297556054
2006-04-14,-0.5401871021183845,-0.5988359057334792
2006-04-21,-0.5879670202059115,-0.7339670005222765
2006-04-28,-0.5559828900657859,-0.8062703096019491
2006-05-05,-0.7769204474644413,-0.5829242216976909
2006-05-12,-0.5309745472747214,-0.3089189764823363
2006-05-19,-0.17425639412165944,-0.207273784488406
2006-05-26,-0.11731655968213688,-0.1436343244528284
2006-06-02,-0.1565656041469155,-0.2352847737605536
2006-06-09,-0.30046577501604665,-0.4394858068011488
2006-06-16,-0.416306302439628,-0.4054086507767409
2006-06-23,-0.34221270636100115,-0.4825497291622769
2006-06-30,-0.39743337887651725,-0.5948703970084597
2006-07-07,-0.6169138130294083,-0.6575020408960683
2006-07-14,-0.6153349736798593,-0.8415125528698939
2006-07-21,-0.7996101097850723,-0.7442355546241718
2006-07-28,-0.7001412480713367,-0.7082601039091923
2006-08-04,-0.647176435712864,-0.6004903530922072
2006-08-11,-0.5370618108522187,-0.5383081363695641
2006-08-18,-0.4876166030669327,-0.5832146312737938
2006-08-25,-0.5619927953964168,-0.5697603782775987
2006-09-01,-0.5488784958573387,-0.6145893768007038
2006-09-08,-0.5825547551728852,-0.6590723730578772
2006-09-15,-0.6229990959562396,-0.6429040509213606
2006-09-22,-0.5978449607401203,-0.4812464411928737
2006-09-29,-0.35867174133158064,-0.3968485452612355
2006-10-06,-0.3697223938365051,-0.1728487854889182
2006-10-13,-0.0981401961349521,-0.1919261064340085
2006-10-20,-0.17119623826700725,-0.2893871628206603
2006-10-27,-0.34374062043658044,-0.2501552600681468
2006-11-03,-0.27340354316513743,-0.2516327142391905
2006-11-10,-0.22337384809606026,-0.1575566199464556
2006-11-17,-0.1080618156674754,-0.0978280966267185
2006-11-24,-0.06774231727170528,-0.2314723160887091
2006-12-01,-0.2682506093979913,-0.434087829312742
2006-12-08,-0.4879331008519839,-0.5491286071028845
2006-12-15,-0.5497519653182066,-0.7595555668175853
2006-12-22,-0.671055752110906,-0.7088661250930651
2006-12-29,-0.6749650460786234,-0.7744685027708991
2007-01-05,-0.7004586575485634,-0.5248643902727139
2007-01-12,-0.4341754288979305,-0.1444427977965972
2007-01-19,-0.009468398263253894,0.0123226489297585
2007-01-26,0.17846092388673981,0.260397631928684
2007-02-02,0.3167203794258527,0.4430051513312624
2007-02-09,0.3276706999964086,0.3150155335210522
2007-02-16,0.17569212730589331,0.3535909490179427
2007-02-23,0.23771753258109585,0.1476762382170573
2007-03-02,0.04084678836141773,-0.284135320670712
2007-03-09,-0.39616536098990796,-0.4093041181044775
2007-03-16,-0.439157676369288,-0.7399615113607219
2007-03-23,-0.6999682153029492,-0.8587011621417661
2007-03-30,-0.7963025127983689,-0.6845796808645962
2007-04-06,-0.5873835415221441,-0.6773138429073046
2007-04-13,-0.5937187187062393,-0.6326639436693149
2007-04-20,-0.5902693602612876,-0.5148546734452587
2007-04-27,-0.34176976268063425,-0.541782815155718
2007-05-04,-0.5413757152627471,-0.6284436438471332
2007-05-11,-0.636715531572018,-0.6734053233896548
2007-05-18,-0.6342135518703245,-0.6874549817602384
2007-05-25,-0.6237528642781512,-0.669362142166754
2007-06-01,-0.5639798466382727,-0.6556909909777447
2007-06-08,-0.6389379426335188,-0.6079851999081076
2007-06-15,-0.5515830224424796,-0.5081180796779283
2007-06-22,-0.4448303171646103,-0.6098441162707512
2007-06-29,-0.593342705735896,-0.6445714839605835
2007-07-06,-0.5187096035552352,-0.6885071392937903
2007-07-13,-0.6816111256118371,-0.8722043663289794
2007-07-20,-0.8069979665587546,-0.8094684049168869
2007-08-03,-0.752187587182701,-0.6516333955299973
2007-08-10,-0.5327891421522417,-0.3169281955085537
2007-08-17,-0.12647817158456842,-0.3275890078037237
2007-08-24,-0.35979276752785366,-0.3268328301358932
2007-08-31,-0.3707170003460115,-0.4371545437015769
2007-09-07,-0.44529901447508985,-0.8185385974309761
2007-09-14,-0.8155461190248583,-0.8267630282666302
2007-09-21,-0.740129997250496,-0.9377618995761424
2007-09-28,-0.8855705400525108,-0.9173461943626348
2007-10-05,-0.8279437183683331,-0.7863721134413136
2007-10-12,-0.6976489153470027,-0.6034839062787434
2007-10-19,-0.5280488393305974,-0.4845003976762299
2007-10-26,-0.4341175084139643,-0.4420971065118539
2007-11-02,-0.4219352575746551,-0.2046969719716707
2007-11-09,-0.15452718591002357,-0.1010622090979418
2007-11-16,-0.048694914544823664,-0.0322514096870992
2007-11-23,-0.02887238198582369,0.0746210084400731
2007-11-30,0.05678451902719102,-0.036374140203088
2007-12-07,-0.0890543390423112,-0.1858762707644211
2007-12-14,-0.25096010494249044,-0.1152623642008684
2007-12-21,-0.11278972936925845,-0.1914197430020151
2007-12-28,-0.16168610752403695,-0.3361032021344499
2008-01-04,-0.34822507170345235,-0.3299153522371578
2008-01-11,-0.3322434295310474,-0.3053676962886918
2008-01-18,-0.206335892341382,-0.4343368798328521
2008-01-25,-0.45955608235119577,-0.3587664880165969
2008-02-01,-0.3277663387054142,-0.3565945998543748
2008-02-08,-0.3048934138912269,-0.4030596297211549
2008-02-15,-0.3916795627858165,-0.368103330999591
2008-02-22,-0.36348852989888314,-0.2103357988193196
2008-02-29,-0.16003177898227555,-0.249668784602352
2008-03-07,-0.2209000800673031,-0.1233547324885953
2008-03-14,-0.004182631647956292,-0.1962120540304031
2008-03-21,-0.23880794915000636,0.0762330723727566
2008-03-28,0.08217168830855087,0.1769510386209148
2008-04-04,0.2383071144220742,0.2339063173936067
2008-04-11,0.23512258681126474,0.2249920434610628
2008-04-18,0.1422670268734818,-0.1088228521920413
2008-04-25,-0.24500307730617127,-0.4041690579002032
2008-05-02,-0.4837974453924255,-0.5546153088916294
2008-05-09,-0.5358538776300665,-0.3972824612446277
2008-05-16,-0.2920640825459762,-0.3008019071841364
2008-05-23,-0.05996540459283638,-0.1511186526078632
2008-05-30,-0.13587323815909697,-0.0328712888928598
2008-06-06,-0.0634221111865989,0.0170221863088134
2008-06-13,0.008621033286592243,0.6404781293984877
2008-06-20,0.8453361154488859,0.6195662695815425
2008-06-27,0.6041382238944176,0.5856777092039419
2008-07-04,0.39189171755036484,0.5263323847744718
2008-07-11,0.3276260254602357,-0.0365295135709449
2008-07-18,-0.20961708542111818,0.1672652831286043
2008-07-25,0.10789313828515733,0.2368088143393825
2008-08-01,0.31900073820971014,0.2964887227633278
2008-08-08,0.3506548930610493,0.237061705802191
2008-08-15,0.16333143255005128,0.0860940519866908
2008-08-22,-0.05161467849825373,0.0007067865857708
2008-08-29,0.00035213222661624466,0.1828207716941197
2008-09-05,0.1843656006750602,0.2679266093241647
2008-09-12,0.4111481963385772,0.2064133337941563
2008-09-19,0.1462802476832028,0.6947164125138854
2008-09-26,0.6910742418609437,0.9688028284254616
2008-10-03,1.0482755191474042,1.6476018222809987
2008-10-10,1.720146063055034,2.127564223174688
2008-10-17,2.0326260363662993,2.566509675086177
2008-10-24,2.145727327609325,2.567431886602942
2008-10-31,2.053545232101792,2.5484183135602354
2008-11-07,2.0686278908798723,3.084709952543764
2008-11-14,2.4773499860137687,2.934324096044312
2008-11-21,2.680281649222971,2.9225782221076515
2008-11-28,2.6810359353630835,3.251657310115984
2008-12-05,2.898229191648399,3.492936964834364
2008-12-12,3.3735421668908723,3.5490189701017365
2008-12-19,3.7030730699761305,3.695740373847805
2008-12-26,3.736280364283402,3.671443231409247
2009-01-02,3.5236997348843992,3.6205512144867487
2009-01-09,3.505457964838035,3.6157839321016927
2009-01-16,3.9241024175575925,3.128943317045978
2009-01-23,3.6171330694702144,3.1178364172512287
2009-01-30,3.2193291904043164,2.8761817423107834
2009-02-06,2.710037473491859,1.8366655363816216
2009-02-13,1.5665611207006467,1.3537073206749712
2009-02-20,1.2559787641645463,1.7756726346481118
2009-02-27,2.0832495032234117,1.5362204560271062
2009-03-06,2.388831608067936,1.9692859343397748
2009-03-13,2.5422714146388667,2.195742113932849
2009-03-20,2.2477603466382465,2.0669324718979905
