"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2019","65.06","65.05","66.75","64.22","361.41K","-2.24%"
"06/28/2019","66.55","66.51","66.84","66.08","34.62K","0.00%"
"06/27/2019","66.55","66.05","66.82","65.63","103.16K","0.09%"
"06/26/2019","66.49","65.80","66.85","65.60","141.95K","2.21%"
"06/25/2019","65.05","64.89","65.98","64.17","205.80K","0.29%"
"06/24/2019","64.86","65.50","65.79","64.08","217.44K","-0.52%"
"06/21/2019","65.20","64.86","65.76","64.00","257.92K","1.16%"
"06/20/2019","64.45","62.45","64.82","62.40","394.17K","4.25%"
"06/19/2019","61.82","62.40","62.55","61.40","320.06K","-0.51%"
"06/18/2019","62.14","60.93","62.84","60.25","327.70K","1.97%"
"06/17/2019","60.94","62.07","62.37","60.74","236.16K","-1.73%"
"06/14/2019","62.01","61.25","62.57","60.74","262.31K","1.14%"
"06/13/2019","61.31","59.94","62.64","59.78","435.42K","2.23%"
"06/12/2019","59.97","61.79","61.85","59.57","343.21K","-3.72%"
"06/11/2019","62.29","62.30","62.87","62.01","302.74K","0.00%"
"06/10/2019","62.29","63.58","64.10","62.05","278.49K","-1.58%"
"06/07/2019","63.29","62.40","63.59","61.77","307.96K","2.63%"
"06/06/2019","61.67","60.40","62.43","60.22","343.64K","1.72%"
"06/05/2019","60.63","61.58","62.27","59.45","428.01K","-2.16%"
"06/04/2019","61.97","61.00","62.12","60.21","370.27K","1.13%"
"06/03/2019","61.28","61.64","62.84","60.55","386.56K","-4.98%"
"05/31/2019","64.49","66.24","66.28","64.37","21.75K","-3.56%"
"05/30/2019","66.87","69.68","69.96","66.31","105.27K","-3.71%"
"05/29/2019","69.45","70.10","70.10","68.08","148.48K","-0.94%"
"05/28/2019","70.11","69.99","70.59","69.58","238.88K","0.00%"
"05/27/2019","70.11","69.15","70.23","68.53","72.18K","2.07%"
"05/24/2019","68.69","67.99","69.30","67.33","292.09K","1.37%"
"05/23/2019","67.76","70.86","70.97","67.02","434.54K","-4.55%"
"05/22/2019","70.99","71.91","72.04","70.42","371.52K","-1.65%"
"05/21/2019","72.18","72.15","72.52","71.63","303.74K","0.29%"
"05/20/2019","71.97","72.50","73.40","71.60","301.98K","-0.33%"
"05/17/2019","72.21","72.82","73.23","71.79","255.53K","-0.56%"
"05/16/2019","72.62","72.05","73.36","71.82","326.44K","1.18%"
"05/15/2019","71.77","70.90","72.25","70.42","272.44K","0.74%"
"05/14/2019","71.24","70.02","71.65","69.93","299.77K","1.44%"
"05/13/2019","70.23","70.83","72.58","69.72","373.47K","-0.55%"
"05/10/2019","70.62","70.45","71.23","70.18","300.46K","0.33%"
"05/09/2019","70.39","70.23","70.65","69.40","328.74K","0.03%"
"05/08/2019","70.37","69.88","70.70","69.33","295.44K","0.70%"
"05/07/2019","69.88","71.15","71.33","69.38","332.07K","-1.91%"
"05/06/2019","71.24","70.59","71.79","68.79","227.02K","0.55%"
"05/03/2019","70.85","70.48","71.54","69.95","249.81K","0.14%"
"05/02/2019","70.75","72.00","72.22","69.68","346.63K","-1.98%"
"05/01/2019","72.18","71.73","72.36","71.30","230.80K","-0.85%"
"04/30/2019","72.80","71.94","73.27","71.73","25.34K","1.05%"
"04/29/2019","72.04","71.56","72.50","71.06","147.41K","-0.15%"
"04/26/2019","72.15","74.20","74.42","71.30","222.89K","-2.96%"
"04/25/2019","74.35","74.46","75.60","74.00","309.21K","-0.30%"
"04/24/2019","74.57","74.27","74.73","74.02","276.67K","0.08%"
"04/23/2019","74.51","74.38","74.73","73.99","308.99K","0.63%"
"04/22/2019","74.04","71.93","74.52","71.86","305.17K","2.88%"
"04/18/2019","71.97","71.63","72.04","71.20","259.04K","0.49%"
"04/17/2019","71.62","71.83","72.27","71.45","276.61K","-0.14%"
"04/16/2019","71.72","71.21","71.95","70.74","273.90K","0.76%"
"04/15/2019","71.18","71.55","71.60","70.78","219.15K","-0.52%"
"04/12/2019","71.55","70.95","71.87","70.90","237.22K","1.02%"
"04/11/2019","70.83","71.56","71.68","70.57","278.09K","-1.25%"
"04/10/2019","71.73","70.82","71.78","70.57","288.89K","1.59%"
"04/09/2019","70.61","71.19","71.34","70.30","267.49K","-0.69%"
"04/08/2019","71.10","70.56","71.19","70.43","288.13K","1.08%"
"04/05/2019","70.34","69.13","70.48","68.92","263.87K","1.35%"
"04/04/2019","69.40","69.44","70.03","68.87","281.88K","0.13%"
"04/03/2019","69.31","69.47","69.96","68.80","341.50K","-0.09%"
"04/02/2019","69.37","69.22","69.58","68.69","299.30K","0.52%"
"04/01/2019","69.01","67.58","69.22","67.58","320.77K","0.91%"
"03/29/2019","68.39","68.01","68.89","67.81","20.62K","0.84%"
"03/28/2019","67.82","67.75","68.00","66.54","131.64K","-0.01%"
"03/27/2019","67.83","67.90","68.35","67.19","148.15K","-0.21%"
"03/26/2019","67.97","67.36","68.23","67.24","197.54K","1.13%"
"03/25/2019","67.21","67.00","67.65","66.36","216.76K","0.27%"
"03/22/2019","67.03","67.76","67.98","66.20","284.52K","-1.22%"
"03/21/2019","67.86","68.38","68.69","67.59","303.23K","-0.93%"
"03/20/2019","68.50","67.66","68.57","67.19","235.49K","1.32%"
"03/19/2019","67.61","67.49","68.20","67.13","234.14K","0.10%"
"03/18/2019","67.54","67.14","67.69","66.69","208.53K","0.57%"
"03/15/2019","67.16","67.18","67.71","66.13","254.32K","-0.10%"
"03/14/2019","67.23","67.65","68.14","67.03","235.99K","-0.47%"
"03/13/2019","67.55","66.91","67.76","66.70","243.20K","1.32%"
"03/12/2019","66.67","66.70","67.39","66.34","252.13K","0.14%"
"03/11/2019","66.58","65.76","66.75","65.63","247.81K","1.28%"
"03/08/2019","65.74","66.08","66.09","64.02","316.39K","-0.84%"
"03/07/2019","66.30","65.88","67.00","65.75","276.24K","0.47%"
"03/06/2019","65.99","65.49","66.18","65.22","283.20K","0.20%"
"03/05/2019","65.86","65.46","66.23","65.04","216.39K","0.29%"
"03/04/2019","65.67","64.97","66.34","64.93","233.54K","0.92%"
"03/01/2019","65.07","66.48","67.14","64.59","297.19K","-1.45%"
"02/28/2019","66.03","66.38","66.38","65.67","19.67K","-0.54%"
"02/27/2019","66.39","65.64","66.70","65.27","102.14K","1.81%"
"02/26/2019","65.21","64.79","65.74","64.32","127.60K","0.69%"
"02/25/2019","64.76","66.97","67.47","64.54","220.94K","-3.52%"
"02/22/2019","67.12","66.96","67.73","66.87","177.62K","0.07%"
"02/21/2019","67.07","67.05","67.31","66.69","245.86K","-0.01%"
"02/20/2019","67.08","66.30","67.38","65.63","276.48K","0.95%"
"02/19/2019","66.45","66.44","66.65","65.58","246.65K","-0.08%"
"02/18/2019","66.50","66.39","66.83","65.90","175.24K","0.38%"
"02/15/2019","66.25","64.86","66.39","64.42","294.49K","2.60%"
"02/14/2019","64.57","63.69","64.81","63.25","287.45K","1.51%"
"02/13/2019","63.61","62.70","63.98","62.69","269.68K","1.91%"
"02/12/2019","62.42","61.59","63.34","61.59","278.80K","1.48%"
"02/11/2019","61.51","62.11","62.34","60.90","280.96K","-0.95%"
"02/08/2019","62.10","61.66","62.36","61.04","254.95K","0.76%"
"02/07/2019","61.63","62.50","62.91","60.60","286.17K","-1.69%"
"02/06/2019","62.69","62.06","62.80","61.05","225.57K","1.15%"
"02/05/2019","61.98","62.64","63.02","61.72","215.36K","-0.85%"
"02/04/2019","62.51","62.83","63.63","61.28","297.43K","-0.38%"
"02/01/2019","62.75","61.06","62.97","60.46","267.22K","1.39%"
"01/31/2019","61.89","61.97","62.32","61.57","20.63K","0.39%"
"01/30/2019","61.65","61.26","62.67","61.04","90.93K","0.54%"
"01/29/2019","61.32","59.87","61.79","59.75","142.13K","2.32%"
"01/28/2019","59.93","61.49","61.69","59.49","214.19K","-2.77%"
"01/25/2019","61.64","61.13","61.92","60.70","218.03K","0.90%"
"01/24/2019","61.09","61.02","61.51","60.41","274.48K","-0.08%"
"01/23/2019","61.14","61.37","62.33","60.21","308.46K","-0.59%"
"01/22/2019","61.50","62.59","62.71","60.57","283.22K","-1.98%"
"01/21/2019","62.74","62.74","63.15","62.25","138.08K","0.06%"
"01/18/2019","62.70","61.33","63.00","61.32","288.91K","2.48%"
"01/17/2019","61.18","61.05","61.54","60.04","278.42K","-0.23%"
"01/16/2019","61.32","60.42","61.45","60.03","315.59K","1.12%"
"01/15/2019","60.64","59.36","60.86","59.11","234.36K","2.80%"
"01/14/2019","58.99","60.62","61.04","58.90","263.28K","-2.46%"
"01/11/2019","60.48","61.19","62.49","60.08","292.79K","-1.95%"
"01/10/2019","61.68","61.15","61.91","60.44","300.92K","0.39%"
"01/09/2019","61.44","59.15","61.69","59.05","329.05K","4.63%"
"01/08/2019","58.72","57.64","58.87","57.13","288.25K","2.42%"
"01/07/2019","57.33","57.41","58.93","57.26","296.58K","0.47%"
"01/04/2019","57.06","55.67","58.31","55.34","321.11K","1.98%"
"01/03/2019","55.95","54.29","56.30","53.93","278.36K","1.89%"
"01/02/2019","54.91","54.12","56.56","52.51","300.95K","2.06%"
"12/31/2018","53.80","53.00","54.82","52.66","109.11K","3.07%"
"12/28/2018","52.20","53.44","53.80","51.60","17.11K","0.08%"
"12/27/2018","52.16","54.65","54.67","51.94","102.59K","-4.24%"
"12/26/2018","54.47","50.84","55.29","49.93","77.00K","7.93%"
"12/24/2018","50.47","53.49","54.66","50.36","76.22K","-6.22%"
"12/21/2018","53.82","54.97","55.33","52.79","226.34K","-0.98%"
"12/20/2018","54.35","56.49","56.75","54.28","299.45K","-5.05%"
"12/19/2018","57.24","56.51","58.11","56.04","319.37K","1.74%"
"12/18/2018","56.26","59.00","59.24","55.89","398.56K","-5.62%"
"12/17/2018","59.61","60.25","61.21","58.64","246.03K","-1.11%"
